title,createdAt,mergedAt,closedAt,reviewsCount,reviewDecision,reviewTimeHours,filesChanged,description,result
"Target inline, use archived .html, .css and .tis files else use it from src dir",2021-09-26T21:48:02Z,,2022-05-13T03:07:50Z,13,,5477.33,13,303,Closed
CI setup,2021-10-11T20:37:32Z,2021-10-12T15:47:09Z,2021-10-12T15:47:09Z,5,,19.16027777777778,1,190,Merged
Clipboard service optimization and bug fixes,2021-10-27T12:11:13Z,2021-10-30T04:50:39Z,2021-10-30T04:50:39Z,1,,64.65722222222222,2,181,Merged
Virtual display,2022-03-13T10:13:09Z,,2022-03-13T11:45:20Z,1,,1.5363888888888888,17,600,Closed
"update bytes(protobuf types) mapping, from Vec<u8> to bytes:Byte",2022-07-15T16:53:41Z,2022-07-21T10:09:14Z,2022-07-21T10:09:14Z,2,CHANGES_REQUESTED,137.25916666666666,17,10,Merged
Hwcodec: codec preference,2022-07-21T02:09:24Z,2022-07-21T17:24:42Z,2022-07-21T17:24:42Z,4,CHANGES_REQUESTED,15.255,14,262,Merged
"Mouse input error on Mac, etc",2022-07-24T02:49:40Z,,2022-10-17T23:31:33Z,8,CHANGES_REQUESTED,2060.6980555555556,7,460,Closed
feat: pc restart,2022-07-27T01:03:29Z,2022-07-27T02:31:47Z,2022-07-27T02:31:47Z,1,,1.4716666666666667,30,95,Merged
Create ko.rs,2022-08-14T05:07:12Z,2022-08-16T06:31:33Z,2022-08-16T06:31:33Z,2,CHANGES_REQUESTED,49.405833333333334,2,66,Merged
fix: unicode-related error during .ts generation ,2022-08-18T16:24:36Z,2022-09-01T08:49:18Z,2022-09-01T08:49:18Z,1,,328.4116666666667,1,148,Merged
Update README-ZH.md : Retype & Authenticating Chinese,2022-08-30T21:16:47Z,2022-09-18T02:56:24Z,2022-09-18T02:56:24Z,1,,437.66027777777776,1,0,Merged
opt: more configurable scroll logic & edge size,2022-09-19T08:06:41Z,2022-09-19T09:18:43Z,2022-09-19T09:18:43Z,4,,1.2005555555555556,9,0,Merged
Windows key input bug,2022-10-28T11:50:30Z,2022-10-29T07:17:37Z,2022-10-29T07:17:37Z,2,,19.451944444444443,1,107,Merged
 opt: mac scroll to fast,2022-11-06T17:28:40Z,2022-11-20T15:57:34Z,2022-11-20T15:57:34Z,10,,334.4816666666667,6,9,Merged
"Use ""_"" instead of "":"" in PeerConfig filenames",2022-11-10T23:14:41Z,2022-11-23T14:32:32Z,2022-11-23T14:32:32Z,1,,303.2975,1,287,Merged
adding catalan translation to rustdesk,2022-11-16T10:32:57Z,2022-11-16T12:40:23Z,2022-11-16T12:40:23Z,2,,2.1238888888888887,2,80,Merged
refactor: migrate flutter_custom_cursor to the ported version of flutter engine,2022-12-11T16:57:49Z,2022-12-12T00:31:30Z,2022-12-12T00:31:30Z,1,,7.561388888888889,7,124,Merged
Implement RGB0 pixel format ,2022-12-20T19:38:23Z,2022-12-21T09:46:54Z,2022-12-21T09:46:54Z,2,CHANGES_REQUESTED,14.141944444444444,5,906,Merged
fix mobile api server validation bug,2022-12-26T01:14:23Z,2022-12-26T02:58:20Z,2022-12-26T02:58:20Z,1,,1.7325,1,48,Merged
Mac wakeup workaround,2022-12-29T12:56:14Z,2022-12-30T02:13:43Z,2022-12-30T02:13:43Z,5,,13.29138888888889,1,71,Merged
Update de.rs,2022-12-30T11:14:21Z,2022-12-31T02:05:03Z,2022-12-31T02:05:03Z,2,,14.845,1,0,Merged
"refactor user login, add two-step verification (email)",2023-01-06T10:27:51Z,2023-01-09T06:04:57Z,2023-01-09T06:04:57Z,2,,67.61833333333334,43,171,Merged
Spelling,2023-01-09T18:54:59Z,2023-01-10T02:13:07Z,2023-01-10T02:13:07Z,1,,7.302222222222222,50,544,Merged
Allow setting custom server and key with env variables,2023-01-12T07:29:05Z,2023-01-18T03:48:01Z,2023-01-18T03:48:01Z,18,CHANGES_REQUESTED,140.31555555555556,3,653,Merged
Allow direct connect to {hostname}:{port},2023-01-18T03:02:01Z,2023-01-18T06:35:50Z,2023-01-18T06:35:50Z,7,CHANGES_REQUESTED,3.5636111111111113,2,256,Merged
