title,createdAt,mergedAt,closedAt,reviewsCount,reviewDecision,reviewTimeHours,filesChanged,description,result
[MRG+2]: Svmlight chunk loader,2012-07-05T23:15:59Z,2017-06-16T16:11:48Z,2017-06-16T16:11:48Z,4,APPROVED,43360.93027777778,4,904,Merged
ENH: use Bayesian priors in Nearest Neighbors classifier (Issue 399),2012-07-19T19:43:38Z,,2023-07-30T10:21:26Z,1,REVIEW_REQUIRED,96662.63,5,456,Closed
MRG+1: Add resample to preprocessing.,2012-12-09T01:15:42Z,,2019-08-07T12:14:39Z,1,CHANGES_REQUESTED,58378.9825,4,512,Closed
[MRG] Implementation of OPTICS,2013-05-21T23:56:17Z,,2018-07-16T11:11:34Z,177,APPROVED,45155.25472222222,9,479,Closed
[MRG] Added code for sklearn.preprocessing.RankScaler,2013-07-21T23:03:23Z,,2017-06-10T10:44:31Z,3,,34067.68555555555,2,470,Closed
[MRG] Generative Classification,2013-09-21T15:46:54Z,,2022-08-15T22:00:50Z,2,REVIEW_REQUIRED,78006.23222222223,6,329,Closed
[MRG+1] Pipeline can now be sliced or indexed,2013-11-02T12:38:37Z,2019-03-07T10:22:50Z,2019-03-07T10:22:50Z,7,APPROVED,46821.73694444444,5,456,Merged
[MRG] K-SVD,2014-10-06T09:19:46Z,,2024-03-06T09:14:37Z,5,REVIEW_REQUIRED,82535.91416666667,4,718,Closed
[MRG+1] Partial AUC,2014-11-07T23:15:42Z,2018-03-01T22:33:06Z,2018-03-01T22:33:06Z,9,APPROVED,29039.29,5,173,Merged
[WIP] Add feature_extraction.ColumnTransformer,2014-11-25T19:44:40Z,,2017-11-28T20:27:11Z,1,,26376.70861111111,14,380,Closed
[WIP] Add warm_start to Ridge. ,2015-02-08T14:16:59Z,,2024-03-06T08:19:14Z,1,REVIEW_REQUIRED,79530.0375,2,422,Closed
[WIP] Allow nan for userdefined metric in dbscan et al,2015-02-24T13:21:34Z,,2024-03-06T08:14:57Z,1,REVIEW_REQUIRED,79146.88972222223,6,12,Closed
[MRG] Choose number of clusters,2015-02-27T16:20:09Z,,2024-03-07T13:24:55Z,3,REVIEW_REQUIRED,79101.07944444445,16,349,Closed
Added new kernels for Mean Shift clustering,2015-04-04T17:29:00Z,,2024-03-06T08:11:00Z,1,REVIEW_REQUIRED,78206.7,5,595,Closed
[MRG + 2 -.5] Listed valid metrics for neighbors algorithms,2015-04-05T21:34:59Z,,2021-06-09T08:01:00Z,3,CHANGES_REQUESTED,54154.43361111111,1,6,Closed
 making dictionary learning closer to the SparseNet algorithm,2015-05-08T13:26:05Z,,2024-03-07T13:27:44Z,8,REVIEW_REQUIRED,77424.0275,5,583,Closed
[MRG+1] Add best_score_ attribute to RidgeCV and RidgeClassifierCV,2015-05-29T17:26:01Z,,2019-12-10T19:29:56Z,2,,39746.06527777778,2,207,Closed
NOCATS: Categorical splits for tree-based learners,2015-06-25T18:15:47Z,,2019-10-17T15:39:03Z,9,,37797.387777777774,12,4865,Closed
Adaptive lasso,2015-06-30T22:13:54Z,,2018-07-16T14:25:13Z,5,,26680.188611111113,4,287,Closed
[MRG+2] Added 'average' option to passive aggressive classifier/regressor.,2015-07-08T13:02:44Z,2016-09-30T02:49:26Z,2016-09-30T02:49:26Z,4,APPROVED,10789.778333333334,3,6760,Merged
[MRG] Metric precision at k score ,2015-07-14T15:24:16Z,,2022-05-02T01:16:45Z,1,REVIEW_REQUIRED,59601.87472222222,6,80,Closed
[WIP] MAINT: get rid of np.int,2015-07-25T13:27:38Z,,2019-06-13T15:41:26Z,1,,34058.23,66,443,Closed
[MRG+2] Deprecate n_iter in SGDClassifier and implement max_iter,2015-07-27T12:32:56Z,2017-06-23T19:49:30Z,2017-06-23T19:49:30Z,27,CHANGES_REQUESTED,16735.27611111111,30,515,Merged
Adding K-Medoids clustering algorithm ,2015-08-04T19:02:55Z,,2018-07-08T14:01:44Z,1,,25650.980277777777,6,302,Closed
Add SVC documentation for properties.,2015-09-07T21:13:19Z,,2018-10-22T15:32:04Z,1,,27378.3125,1,115,Closed
DOC further documentation building tweaks,2015-09-09T11:25:44Z,,2022-01-14T06:15:19Z,1,REVIEW_REQUIRED,55650.82638888889,3,146,Closed
[MRG+2] LOF algorithm (Anomaly Detection),2015-09-16T12:44:13Z,2016-10-25T15:53:52Z,2016-10-25T15:53:52Z,30,APPROVED,9723.160833333333,12,309,Merged
"[MRG+1] Add multiplicative-update solver in NMF, with all beta-divergence",2015-09-22T16:32:02Z,2016-12-12T15:10:39Z,2016-12-12T15:10:39Z,26,APPROVED,10726.64361111111,7,1052,Merged
[MRG+1] Fix precomputation of Gram matrix in Lars,2015-10-07T15:40:37Z,2017-06-13T09:40:47Z,2017-06-13T09:40:47Z,1,,14754.002777777778,5,684,Merged
Added Kernel k-means (Issue #5373),2015-10-20T12:56:13Z,,2019-07-24T09:41:56Z,1,,32948.76194444444,6,62,Closed
[WIP] Sample weight consistency ,2015-10-21T15:03:28Z,,2020-05-10T13:41:54Z,1,,39910.640555555554,1,929,Closed
[WIP]  k-means|| initialization for k-means,2015-10-22T12:44:33Z,,2016-10-31T19:46:15Z,1,,9007.028333333334,1,1786,Closed
[MRG + 1] Add how lda's LDA differs from sckit-learn's LDA,2015-10-23T10:20:40Z,2016-12-27T01:41:43Z,2016-12-27T01:41:43Z,2,,10335.350833333334,1,13,Merged
[MRG] Fix estimators to work if sample_weight parameter is pandas Series type,2015-10-30T21:15:58Z,,2016-12-20T02:33:33Z,4,CHANGES_REQUESTED,9989.293055555556,4,231,Closed
[WIP] Generalized partial dependence plots,2015-11-01T20:00:04Z,,2019-04-24T12:52:16Z,22,,30472.87,5,2884,Closed
[MRG+1] split  data using _safe_split in _permutaion_test_scorer to fix error…,2015-11-02T23:57:53Z,2016-12-29T01:46:53Z,2016-12-29T01:46:53Z,3,,10129.816666666668,3,62,Merged
[MRG+2] fixed IsolationForest(max_features=0.8).predict(X) fails input validation,2015-11-08T05:29:25Z,2016-12-27T11:23:05Z,2016-12-27T11:23:05Z,19,APPROVED,9965.894444444444,3,13,Merged
[MRG+2] EHN: Allow specifying arbitrary kernel for semi-supervised learning.,2015-11-08T13:58:51Z,2016-09-21T11:00:24Z,2016-09-21T11:00:24Z,2,APPROVED,7629.025833333333,3,241,Merged
[MRG+1] Improve benchmark on NMF,2015-11-10T10:29:44Z,2016-12-20T13:47:29Z,2016-12-20T13:47:29Z,4,APPROVED,9747.295833333334,1,1497,Merged
[MRG + 2] FIX LogisticRegressionCV to correctly handle string labels,2015-11-18T14:17:01Z,2016-11-09T20:40:51Z,2016-11-09T20:40:51Z,20,APPROVED,8574.397222222222,3,619,Merged
[MRG+1] add Convergence warning in LabelPropagation,2015-11-20T09:45:03Z,2017-08-06T23:12:45Z,2017-08-06T23:12:45Z,21,,15013.461666666666,2,227,Merged
Added subsampling to RandomForest,2015-12-05T01:14:23Z,,2019-09-20T08:00:05Z,5,CHANGES_REQUESTED,33246.761666666665,2,873,Closed
[MRG] ENH Add support for missing values to Tree based Classifiers,2015-12-07T17:46:18Z,,2023-03-08T09:52:30Z,8,REVIEW_REQUIRED,63544.10333333333,13,2281,Closed
Adding Time Series Regressors ,2015-12-14T21:30:23Z,,2019-04-23T16:14:56Z,1,,29418.7425,5,832,Closed
[MRG + 1] Default attribute info for KernelPCA,2015-12-15T02:41:40Z,2016-09-16T01:33:08Z,2016-09-16T01:33:08Z,5,,6622.857777777778,1,123,Merged
correcting information criterion calculation in least_angle.py,2015-12-23T19:42:20Z,,2017-06-06T19:15:08Z,4,,12743.546666666667,1,226,Closed
Fix docstring signature mismatch in cython code,2016-01-05T14:15:57Z,,2017-01-04T08:09:46Z,1,,8753.896944444445,9,698,Closed
[MRG+1] fix #6101 GradientBoosting decision_function for sparse inputs,2016-01-05T16:56:51Z,2016-10-15T10:41:44Z,2016-10-15T10:41:44Z,9,,6809.748055555556,6,46,Merged
[WIP] MAINT: Return self for fit in Spectral Biclustering and CoClustering,2016-01-08T13:07:17Z,,2017-06-08T12:05:09Z,31,,12406.964444444444,3,664,Closed
[MRG+2] Norm inconsistency between RFE and SelectFromModel (was _LearntSelectorMixin) #2121,2016-01-18T17:12:37Z,2016-10-24T18:01:49Z,2016-10-24T18:01:49Z,1,,6720.82,5,245,Merged
[MRG] DOC/EXA Add Examples section to ensembles module,2016-01-24T15:49:56Z,,2017-08-09T15:18:17Z,1,CHANGES_REQUESTED,13511.4725,3,115,Closed
Better example for agglomerative clustering,2016-01-26T14:02:34Z,,2024-04-19T14:03:55Z,1,CHANGES_REQUESTED,72144.0225,1,299,Closed
[MRG+1] [DOC] Adding GMM to plot_cluster_comparison.py,2016-02-08T05:07:53Z,2017-03-21T22:15:38Z,2017-03-21T22:15:38Z,7,,9785.129166666668,1,452,Merged
Add argument `parallel_opts` to online LDA,2016-02-12T10:10:57Z,,2021-04-08T17:49:38Z,1,REVIEW_REQUIRED,45175.64472222222,1,412,Closed
[MRG] ENH: Use batches for RBM.partial_fit,2016-02-14T08:41:10Z,,2018-05-22T19:13:08Z,1,CHANGES_REQUESTED,19882.53277777778,2,21,Closed
[MRG] ENH: Optional positivity constraints on the dictionary and sparse code,2016-02-17T00:20:50Z,2018-06-21T14:36:49Z,2018-06-21T14:36:49Z,1,APPROVED,20534.26638888889,4,886,Merged
ENH: Add elastic net regularization option for dictionary learning.,2016-02-17T15:57:59Z,,2018-06-01T22:40:23Z,3,,20046.706666666665,2,700,Closed
[MRG+1] Corrected sign error in QuantileLossFunction,2016-02-23T10:25:15Z,2016-12-22T17:09:59Z,2016-12-22T17:09:59Z,2,,7278.745555555555,3,605,Merged
[MRG] ENH Add get_feature_names for various transformers,2016-02-23T14:34:46Z,,2022-02-02T05:06:56Z,7,REVIEW_REQUIRED,52094.53611111111,6,244,Closed
Add the RMSE(Root Mean Squared Error) option to the cross_val_score.,2016-02-27T07:27:18Z,,2020-12-14T21:10:24Z,1,,42061.71833333333,7,952,Closed
"[MRG] Support new scipy sparse array indices, which can now be > 2^31 (Was pull request #6194)",2016-03-01T21:23:11Z,,2017-11-29T22:38:27Z,1,,15313.254444444445,1,460,Closed
resolve #4587 add inductive learning example,2016-03-02T17:58:52Z,,2019-01-17T11:16:58Z,1,,25217.301666666666,1,160,Closed
Added default args docs for Lasso and ElasticNetCV,2016-03-05T19:14:15Z,,2018-07-16T14:23:49Z,2,,20707.159444444445,1,252,Closed
[MRG+1] Fixes n_iter_without_progress and min_grad_norm in TSNE,2016-03-06T23:29:33Z,,2016-10-12T12:47:23Z,3,APPROVED,5269.297222222222,2,176,Closed
[MRG] Example Bag-of-Visual-Words,2016-03-08T20:18:06Z,,2017-02-23T17:19:11Z,7,,8445.018055555556,2,79,Closed
[MRG] added variation_stop parameter to multylayer perceptron,2016-03-10T16:21:13Z,,2018-01-31T10:44:51Z,1,CHANGES_REQUESTED,16602.393888888888,1,483,Closed
[MRG] Add Information Gain and Information Gain Ratio feature selection functions,2016-03-13T22:34:03Z,,2024-04-29T11:44:41Z,33,CHANGES_REQUESTED,71245.17722222222,8,998,Closed
[MRG+1]  add docs that C can receive array in RandomizedLogisticRegression,2016-03-14T06:36:35Z,2017-02-18T06:38:12Z,2017-02-18T06:38:12Z,7,,8184.026944444445,2,84,Merged
[MRG]Added possibility of adding both values and proportions in export_graphviz,2016-03-17T12:04:48Z,,2024-04-19T10:57:38Z,1,CHANGES_REQUESTED,70918.88055555556,2,132,Closed
[MRG] Fixes the accessible kl_divergence value #6507,2016-03-21T15:19:19Z,,2017-06-15T04:14:43Z,2,CHANGES_REQUESTED,10812.923333333334,2,209,Closed
[MRG] #6573 If self.kernel_ is None then self.kernel_ is set to RBFKernel in prediction(),2016-03-24T05:22:45Z,,2017-06-20T12:54:12Z,1,,10879.524166666666,1,12,Closed
ENH Add alpha_per_target parameter to RidgeCV,2016-04-05T14:09:24Z,2020-08-06T16:24:54Z,2020-08-06T16:24:54Z,13,APPROVED,38018.25833333333,3,602,Merged
" [MRG] Parallelization _update_cdnmf_fast , fast nmf",2016-04-08T04:28:52Z,,2022-05-02T19:02:08Z,1,CHANGES_REQUESTED,53174.554444444446,3,191,Closed
Add stacking-meta-model,2016-04-18T07:34:52Z,,2019-09-18T20:06:35Z,1,,29964.528611111113,1,305,Closed
[MRG] Implementing SelectKBest feature in SelectFromModel,2016-04-26T06:08:24Z,,2018-07-16T19:15:59Z,8,,19477.12638888889,2,361,Closed
[MRG] Fixing label clamping for LabelPropagation,2016-04-27T20:16:13Z,,2017-06-30T15:41:35Z,18,,10291.422777777778,3,2262,Closed
[MRG] ENH: Add boxcox transform to preprocess input data,2016-05-14T13:12:33Z,,2017-12-05T21:29:11Z,44,,13688.277222222223,5,767,Closed
FIX: Imputer fix for indicator_matrix in add_indicator_features option,2016-05-14T17:01:00Z,,2016-10-13T19:00:33Z,2,,3649.9925,3,378,Closed
[WIP] Robust PCA algorithm,2016-05-20T23:30:43Z,,2024-04-19T13:37:41Z,4,REVIEW_REQUIRED,69374.11611111111,4,668,Closed
[MGR] Add memory efficient mode for DBSCAN,2016-05-23T03:08:40Z,,2018-05-21T13:17:28Z,1,,17482.146666666667,3,1355,Closed
Improved error message for nan in metrics,2016-05-27T03:21:28Z,,2020-11-09T09:56:06Z,4,,39054.57722222222,2,281,Closed
[WIP] ENH Optimal n_clusters values,2016-06-29T13:26:36Z,,2024-04-18T18:48:36Z,2,REVIEW_REQUIRED,68405.36666666667,3,1740,Closed
[MRG + 1] Update readme #7003,2016-07-16T21:06:34Z,2016-09-22T17:34:35Z,2016-09-22T17:34:35Z,2,APPROVED,1628.4669444444444,1,33,Merged
