title,createdAt,mergedAt,closedAt,reviewsCount,reviewDecision,reviewTimeHours,filesChanged,description,result
Add HTTP proxy support in forward proxy,2016-09-22T18:14:46Z,2016-09-25T04:37:24Z,2016-09-25T04:37:24Z,2,,58.37722222222222,13,0,Merged
Update translation for Traditional Chinese,2016-12-30T08:07:15Z,2016-12-30T09:13:46Z,2016-12-30T09:13:46Z,3,,1.1086111111111112,1,0,Merged
add: language jp support,2017-03-02T14:21:05Z,2017-03-03T16:05:58Z,2017-03-03T16:05:58Z,2,,25.748055555555556,5,0,Merged
添加热键自动注册功能,2017-05-01T05:16:13Z,,2018-08-01T14:04:41Z,8,,10976.807777777778,9,346,Closed
Update README.md,2017-07-09T13:29:32Z,,2017-07-10T12:24:19Z,3,,22.913055555555555,1,79,Closed
SIP002 and SIP003 support.,2017-08-06T00:37:05Z,2017-08-21T12:25:34Z,2017-08-21T12:25:35Z,3,,371.80805555555554,8,544,Merged
Update HttpProxy.cs,2017-10-28T02:28:15Z,,2017-10-28T08:57:24Z,1,,6.485833333333333,1,76,Closed
1. Pass options to SIP003 plug-in through the Agruments property; 2. …,2018-02-17T20:21:05Z,,2018-03-02T02:12:06Z,2,,293.85027777777776,1,92,Closed
"""Allow Clients from LAN"" Description & Translation optimization",2018-03-16T07:30:54Z,2018-03-17T02:15:16Z,2018-03-17T02:15:16Z,2,,18.739444444444445,4,183,Merged
fix: using event to avoid hanging when redirect standard output/error,2018-03-17T07:44:24Z,2018-08-05T02:40:17Z,2018-08-05T02:40:17Z,2,,3378.9313888888887,1,308,Merged
Optimal description,2018-07-11T12:49:04Z,2018-07-12T13:54:15Z,2018-07-12T13:54:15Z,2,,25.086388888888887,6,699,Merged
Fix #1969 #1818,2018-08-19T15:51:20Z,2018-08-20T03:10:33Z,2018-08-20T03:10:33Z,1,,11.320277777777777,1,767,Merged
Merge pull request #1 from shadowsocks/master,2018-08-23T01:04:26Z,,2018-08-26T03:27:03Z,1,,74.37694444444445,0,878,Closed
Improve sysproxy exception handling,2018-09-18T05:49:04Z,2018-10-07T13:18:12Z,2018-10-07T13:18:12Z,2,,463.48555555555555,7,1209,Merged
"Register restart after system reboot, #2154",2019-01-17T09:00:10Z,2019-01-20T12:02:58Z,2019-01-20T12:02:58Z,5,,75.04666666666667,2,749,Merged
Add check box to toggle plugin argument input,2019-02-14T15:37:14Z,2019-03-11T02:37:25Z,2019-03-11T02:37:25Z,4,,587.0030555555555,4,819,Merged
Fixed condition for useProxy,2019-02-17T13:33:06Z,2019-02-24T04:47:08Z,2019-02-24T04:47:08Z,2,,159.23388888888888,1,681,Merged
Marked ApplicationRestartFlags with Flags attribute,2019-02-17T13:57:55Z,2019-02-23T14:37:35Z,2019-02-23T14:37:35Z,1,,144.6611111111111,1,763,Merged
Replaced ContainsKey and getting value by key with TryGetValue,2019-03-15T22:22:52Z,,2019-10-06T07:29:50Z,2,APPROVED,4905.116111111111,1,727,Closed
Enhance context menu  for System proxy and it's mode.,2019-04-02T09:22:13Z,2019-04-07T13:58:55Z,2019-04-07T13:58:55Z,1,,124.61166666666666,4,1030,Merged
fixed issue #2371,2019-06-04T08:09:47Z,2019-06-08T06:36:53Z,2019-06-08T06:36:53Z,1,,94.45166666666667,2,951,Merged
Support Windows 10 1903 Light Theme,2019-06-04T09:31:08Z,2019-07-06T13:32:17Z,2019-07-06T13:32:17Z,8,,772.0191666666667,3,1141,Merged
Add DNS Load Balance for Server Domain,2019-06-11T05:46:14Z,,2020-10-10T05:26:18Z,2,,11687.667777777779,7,846,Closed
Refactoring Config Form,2019-06-15T13:47:25Z,2019-06-25T13:05:32Z,2019-06-25T13:05:32Z,3,,239.30194444444444,8,928,Merged
add server list group feature,2019-07-17T04:31:03Z,,2019-12-13T06:31:56Z,1,,3578.014722222222,7,696,Closed
add ip whitelist pac ,2019-07-23T01:05:03Z,,2019-11-15T04:44:34Z,1,,2763.658611111111,9,698,Closed
Update zh_CN.txt,2019-09-27T17:12:46Z,,2019-11-25T09:25:38Z,3,,1408.2144444444446,1,969,Closed
Translate statistics config,2019-11-25T09:22:53Z,2019-12-01T08:08:44Z,2019-12-01T08:08:44Z,1,,142.76416666666665,3,664,Merged
change default method to chacha20-ietf-poly1305,2019-11-25T09:29:14Z,2019-11-28T02:02:53Z,2019-11-28T02:02:54Z,1,,64.56083333333333,1,704,Merged
Use MD5 hash instead of timestamp for PAC URL,2019-11-28T12:28:27Z,2019-12-16T16:55:16Z,2019-12-16T16:55:16Z,1,,436.44694444444445,3,675,Merged
