title,createdAt,mergedAt,closedAt,reviewsCount,reviewDecision,reviewTimeHours,filesChanged,description,result
Run HTTP requests in parallel,2018-12-25T19:51:57Z,2018-12-30T06:26:16Z,2018-12-30T06:26:16Z,1,,106.57194444444444,4,1483,Merged
Script can now load the data.json file when invoked from different di…,2018-12-31T05:53:45Z,2018-12-31T16:01:56Z,2018-12-31T16:01:56Z,3,,10.136388888888888,1,161,Merged
Run isort on the imports,2018-12-31T06:28:01Z,2019-01-02T09:57:13Z,2019-01-02T09:57:13Z,1,,51.486666666666665,1,445,Merged
Added 9GAG support,2019-01-02T19:46:18Z,2019-01-03T00:28:14Z,2019-01-03T00:28:14Z,1,,4.698888888888889,1,0,Merged
"Add ""regexCheck"" for Facebook and Flipboard",2019-01-03T01:26:26Z,2019-01-04T21:50:55Z,2019-01-04T21:50:55Z,3,,44.408055555555556,1,292,Merged
[Alternative] - Solve issue 5 with Colorama.,2019-01-03T10:29:09Z,2019-01-03T21:36:26Z,2019-01-03T21:36:26Z,1,,11.12138888888889,2,498,Merged
Script for installing packages in linux,2019-01-03T11:52:51Z,2019-01-04T16:01:41Z,2019-01-04T16:01:41Z,5,,28.147222222222222,1,494,Merged
"Script now supports Debian/Ubuntu, Arch, Fedora, CentOS/RHEL and OpenSUSE based distos",2019-01-05T11:28:04Z,2019-01-16T03:23:34Z,2019-01-16T03:23:34Z,3,,255.925,1,170,Merged
WIP: First pass at tests for Sherlock.,2019-01-06T18:06:49Z,,2019-01-22T02:08:01Z,4,,368.02,1,145,Closed
Response time metrics,2019-01-07T17:19:28Z,2019-01-09T00:08:47Z,2019-01-09T00:08:47Z,4,,30.821944444444444,2,2481,Merged
Modulation of Sherlock,2019-01-08T22:17:10Z,,2020-04-30T11:26:54Z,2,,11461.162222222221,29,1046,Closed
Add sorting by Alexa.com rank functionality,2019-01-24T11:03:05Z,2019-01-26T10:54:59Z,2019-01-26T10:54:59Z,7,,47.865,5,0,Merged
created a script for easier site adding,2019-01-24T23:48:03Z,,2019-01-29T06:36:13Z,1,,102.80277777777778,3,696,Closed
Refactored code to make Sherlock a proper CLI tool and python package,2019-01-26T17:44:26Z,,2020-04-30T11:22:56Z,2,,11033.641666666666,14,804,Closed
"Added Steam Group support, Added .idea dir to .gitignore",2019-02-03T17:16:58Z,2019-02-03T19:39:59Z,2019-02-03T19:39:59Z,1,,2.383611111111111,2,217,Merged
Prevent copying of venv folder in the Docker image,2019-04-24T21:28:20Z,2020-06-20T20:07:02Z,2020-06-20T20:07:02Z,2,,10150.645,1,427,Merged
Update data.json to add Filmo.gs,2019-07-17T06:10:38Z,2019-07-17T14:55:50Z,2019-07-17T14:55:50Z,1,APPROVED,8.753333333333334,1,53,Merged
Adds a link to let github visitors test Sherlock from their browser,2019-07-17T17:36:09Z,2019-07-18T17:11:53Z,2019-07-18T17:11:53Z,2,APPROVED,23.595555555555556,1,846,Merged
Adding codewars.com,2019-08-10T21:27:15Z,2019-08-11T10:47:47Z,2019-08-11T10:47:47Z,1,APPROVED,13.342222222222222,1,0,Merged
Adding Duolingo,2019-08-12T07:15:40Z,2019-08-12T11:45:03Z,2019-08-12T11:45:03Z,1,APPROVED,4.489722222222222,1,0,Merged
Add segmentfault.,2019-08-14T02:30:45Z,2019-08-25T00:35:12Z,2019-08-25T00:35:12Z,2,,262.07416666666666,1,17,Merged
