title,createdAt,mergedAt,closedAt,reviewsCount,reviewDecision,reviewTimeHours,filesChanged,description,result
Expose Hibernate Statistics,2015-07-24T09:49:18Z,,2017-10-03T08:25:25Z,2,,19246.601944444443,5,331,Closed
Add Quartz Scheduler support,2015-10-26T01:02:57Z,,2017-05-30T16:49:10Z,3,,13983.770277777778,21,420,Closed
Add support for configuring lobgack logging via JMX,2015-11-14T03:06:47Z,,2018-05-18T09:56:36Z,2,CHANGES_REQUESTED,21990.83027777778,3,240,Closed
Use `SizeAndTimeBasedRollingPolicy` for default file appender,2016-07-07T16:10:00Z,,2017-11-02T22:24:56Z,1,,11598.24888888889,7,805,Closed
Add option to configure logging filters,2016-07-09T20:07:07Z,,2019-02-20T12:40:36Z,2,,22936.558055555557,4,644,Closed
Expose tldSkipPatterns as property,2016-08-09T08:38:36Z,,2016-10-24T12:48:55Z,1,CHANGES_REQUESTED,1828.1719444444445,1,305,Closed
Add support for multiple beans in the Flyway and Liquibase endpoints,2016-08-11T04:28:33Z,,2016-12-22T10:46:23Z,2,APPROVED,3198.2972222222224,4,186,Closed
Add auto-configuration support for Spring Data Geode Repositories.,2016-09-19T23:31:07Z,,2016-11-22T14:41:03Z,3,CHANGES_REQUESTED,1527.1655555555556,11,1495,Closed
Add Kafka AutoConfiguration,2016-09-20T16:33:19Z,,2016-11-22T09:31:37Z,5,,1504.9716666666666,16,102,Closed
Add auto-configuration support for Apache Geode as a caching provider.,2016-09-21T07:17:44Z,,2016-11-22T14:41:26Z,13,CHANGES_REQUESTED,1495.395,12,891,Closed
Memory Health Indicators,2016-09-21T20:21:28Z,,2019-01-24T16:29:59Z,2,,20516.141944444444,13,740,Closed
Rework subtypes populating code algorithm,2016-09-23T18:55:57Z,,2016-10-19T13:25:00Z,8,,618.4841666666666,1,554,Closed
Added logFilename and pidFilename to EmbeddedLaunchScriptProperties,2016-10-27T08:50:33Z,,2016-11-22T13:55:05Z,2,APPROVED,629.0755555555555,3,218,Closed
Support early JDBC connection pool creation,2016-11-09T11:39:37Z,,2016-11-22T17:54:20Z,1,,318.2452777777778,6,368,Closed
Add properties for content security policy,2016-11-12T19:41:44Z,,2016-11-17T00:07:20Z,2,,100.42666666666666,4,92,Closed
Redis configuration with URL,2016-11-15T19:02:04Z,,2016-12-21T05:57:01Z,6,,850.9158333333334,4,681,Closed
Validate excluded autoconfiguration classes,2016-11-16T21:36:02Z,,2016-11-22T14:38:32Z,3,,137.04166666666666,2,14,Closed
Add auto-configuration support for Hazelcast client,2016-11-23T22:24:08Z,,2017-05-04T13:53:15Z,10,CHANGES_REQUESTED,3879.485277777778,10,776,Closed
Auto-configure HikariCP's Dropwizard metrics support,2016-12-06T14:31:27Z,,2017-04-27T02:12:28Z,1,,3395.683611111111,3,1287,Closed
Provide a @DataMongoTest similar to @DataJpaTest,2016-12-08T16:16:32Z,,2017-01-20T15:43:35Z,16,,1031.4508333333333,15,1745,Closed
Introduce @ConditionalOnMissingServletFilter,2016-12-15T10:02:28Z,,2018-02-02T12:09:59Z,1,,9938.125277777777,10,895,Closed
