title,createdAt,mergedAt,closedAt,reviewsCount,reviewDecision,reviewTimeHours,filesChanged,description,result
Fix typos,2015-10-20T04:42:07Z,,2018-09-03T08:25:38Z,2,APPROVED,25179.72527777778,1,0,Closed
Improve explanation for how to customization default error page of the Servlet Container,2015-10-31T13:31:59Z,,2019-11-08T09:51:15Z,2,,35252.32111111111,1,508,Closed
SPR-13657 Buffered AsyncClientHttpResponse,2015-11-08T18:53:28Z,,2018-02-05T14:10:51Z,1,,19675.289722222224,4,305,Closed
Simpler solution to provide hints,2016-09-13T10:11:23Z,,2016-09-16T10:56:29Z,3,,72.75166666666667,10,352,Closed
SPR-14664 Add byte range requests support,2016-09-14T21:14:28Z,2016-09-20T15:08:16Z,2016-09-20T15:08:16Z,3,,137.89666666666668,14,82,Merged
Add reactive multipart request support,2016-10-12T09:24:06Z,,2017-05-01T18:38:14Z,4,CHANGES_REQUESTED,4833.235555555556,37,314,Closed
Add FormHttpMessageReader/Writer,2016-10-25T22:57:55Z,,2016-10-28T18:30:19Z,1,,67.54,4,1214,Closed
Add HttpHeaders#get/setContentDisposition(),2016-10-26T12:47:20Z,,2016-11-08T00:12:08Z,5,CHANGES_REQUESTED,299.41333333333336,4,516,Closed
Add RedirectView to Spring Web Reactive,2016-11-21T10:25:00Z,,2016-11-28T18:21:49Z,2,,175.94694444444445,4,472,Closed
Add twice to ExpectedCount as convenience method,2016-12-01T04:00:27Z,,2016-12-02T21:29:17Z,2,,41.480555555555554,4,0,Closed
Javadoc fix,2016-12-02T06:51:44Z,,2016-12-02T21:29:31Z,1,,14.629722222222222,1,0,Closed
SPR-12031 Support @ContextConfiguration at method level,2016-12-06T13:35:29Z,,2017-06-12T19:02:10Z,1,CHANGES_REQUESTED,4517.4447222222225,21,366,Closed
SPR-14988: [Spring 5] @GetMapping method annotation uses consumes attribute from @RequestMapping class annotation,2016-12-07T00:15:50Z,,2016-12-07T22:53:04Z,3,,22.620555555555555,3,355,Closed
Allow HandlerFunction to return Mono<ServerResponse>,2016-12-13T16:14:24Z,,2016-12-14T15:53:20Z,2,APPROVED,23.648888888888887,27,1535,Closed
SPR-14544 Introduce PathPatternParser for optimized path matching,2017-01-11T22:03:10Z,2017-02-09T10:29:30Z,2017-02-09T10:29:30Z,2,,684.4388888888889,62,0,Merged
Cache the invocation of Annotation.annotationType(),2017-02-06T19:05:34Z,,2017-04-06T10:34:25Z,1,,1407.4808333333333,4,0,Closed
Implement reactive HiddenHttpMethodFilter,2017-02-06T19:58:55Z,,2017-02-09T21:40:40Z,3,APPROVED,73.69583333333334,2,108,Closed
Refactor with String#isEmpty(),2017-02-21T15:25:06Z,,2017-02-22T10:57:07Z,1,,19.53361111111111,17,65,Closed
Doc fix for example of GenericApplicationContext & representation of ConditionalGenericConverter,2017-03-05T06:42:39Z,,2017-03-05T08:34:58Z,1,APPROVED,1.8719444444444444,2,230,Closed
Fix a typo in ValidationUtils.java,2017-03-13T03:55:59Z,,2017-03-27T08:12:52Z,1,,340.2813888888889,1,13,Closed
Extract CompositeHttpHandler functionality,2017-03-14T17:30:53Z,,2017-03-15T21:22:19Z,2,,27.857222222222223,15,254,Closed
Fixed a bug where gradle build would fail on windows.,2017-03-19T14:15:28Z,,2017-05-17T20:22:40Z,1,CHANGES_REQUESTED,1422.12,1,92,Closed
Use a WebClient instead of a RestTemplate,2017-03-22T01:23:09Z,,2017-03-24T20:26:10Z,1,,67.05027777777778,1,42,Closed
HttpOnly Cookie Result Matcher,2017-04-04T17:53:13Z,2017-04-27T13:20:07Z,2017-04-27T13:20:07Z,1,,547.4483333333334,2,437,Merged
Use Java 8 forEach method on Map,2017-04-25T22:03:19Z,,2017-04-28T09:08:30Z,1,,59.08638888888889,8,62,Closed
Remove redundant slashes in URI-string before it's URI will be resolve.,2017-05-09T00:09:27Z,,2017-05-22T16:49:37Z,3,,328.6694444444444,1,85,Closed
SPR-15543: Fix duplicate subscriptionId for destination-sessionId key,2017-05-14T16:01:21Z,,2017-05-19T19:21:11Z,2,,123.33055555555555,1,496,Closed
Timeout Overrides in Messaging Templates,2017-05-26T17:33:10Z,,2017-05-30T21:21:45Z,4,,99.80972222222222,2,781,Closed
Doc update,2017-05-31T18:10:36Z,,2021-01-08T17:06:11Z,6,CHANGES_REQUESTED,31630.92638888889,1,50,Closed
SPR-15604 Fixed cron expression validation method in CronSequenceGenerator,2017-05-31T19:55:43Z,,2017-06-29T20:24:10Z,2,,696.4741666666666,2,221,Closed
Refact iterator of Map with Java 8 forEach,2017-06-04T01:23:14Z,,2017-06-05T13:08:07Z,1,,35.74805555555555,18,0,Closed
Use the diamond syntax,2017-06-05T11:22:33Z,,2017-06-12T07:19:59Z,1,APPROVED,163.9572222222222,16,0,Closed
Refact iterator of Map with Java 8 forEach,2017-06-05T17:04:44Z,,2017-06-12T06:59:10Z,1,APPROVED,157.90722222222223,37,0,Closed
Remove duplicate code,2017-06-07T07:09:40Z,,2018-12-21T14:10:54Z,2,APPROVED,13495.020555555555,1,120,Closed
use lambda to refact the code,2017-06-07T16:40:15Z,,2017-06-13T08:15:06Z,1,APPROVED,135.58083333333335,53,0,Closed
"add EditorConfig file, help to unified code style",2017-06-09T03:08:05Z,,2017-06-12T06:08:57Z,4,APPROVED,75.01444444444445,1,0,Closed
add @FunctionalInterface annotation,2017-06-10T05:01:01Z,,2017-06-12T11:53:25Z,3,CHANGES_REQUESTED,54.873333333333335,3,0,Closed
Add onError callback to DeferredResult,2017-06-23T19:54:46Z,,2017-06-26T18:53:31Z,1,,70.97916666666667,27,16,Closed
SPR-15708 - Add debug logging for CORS rejections,2017-06-28T01:15:26Z,,2017-07-03T07:50:12Z,2,CHANGES_REQUESTED,126.57944444444445,2,44,Closed
Make getters and setters null-safety consistent,2017-07-10T16:56:16Z,,2017-07-19T07:17:59Z,8,,206.36194444444445,207,297,Closed
Support instantiating Kotlin classes with optional parameters,2017-07-19T15:25:46Z,,2017-07-20T08:52:11Z,2,,17.440277777777776,7,277,Closed
SPR-15819 - URI variables with MockRestRequestMatchers requestTo,2017-07-25T01:27:42Z,,2017-08-15T13:11:45Z,4,,515.7341666666666,2,78,Closed
Update RestTemplate.java,2017-08-05T03:14:22Z,,2017-11-03T05:26:52Z,2,,2162.2083333333335,1,459,Closed
Proofreading of the webflux chapter in the reference guide,2017-08-31T17:15:08Z,,2017-09-04T05:39:06Z,1,,84.39944444444444,3,32,Closed
Spr 15950 PathMatchingResourcePatternResolver.java cannot find any resources in jar file in weblogic and websphere,2017-09-11T01:38:35Z,,2021-12-03T09:46:02Z,1,,37064.12416666667,1,433,Closed
SPR-15993: Revisit meaning of response.close() in HTTP client,2017-09-25T16:09:54Z,2017-09-27T12:03:56Z,2017-09-27T12:03:56Z,1,,43.900555555555556,6,459,Merged
spring-jdk9-hello-world,2017-10-12T07:44:52Z,,2017-10-16T20:57:25Z,1,,109.20916666666666,4,35,Closed
Handle parameters of Kotlin extension methods correctly.,2017-10-26T13:13:32Z,,2017-11-13T14:54:56Z,3,CHANGES_REQUESTED,433.69,2,312,Closed
SPR-16138 - MockHttpServletRequest: use computed serverName,2017-10-27T20:01:49Z,,2017-11-05T15:03:13Z,1,,211.02333333333334,1,84,Closed
SPR-16170 Spring-jdbc : Improve memory allocations when substituting named parameters.,2017-11-07T17:27:16Z,2017-11-08T22:54:39Z,2017-11-08T22:54:39Z,2,,29.45638888888889,1,4179,Merged
SPR-16098: Fix Reactive JsonView + HttpEntity handling,2017-11-14T17:22:17Z,,2017-11-16T14:16:51Z,2,,44.909444444444446,5,246,Closed
