title,createdAt,mergedAt,closedAt,reviewsCount,reviewDecision,reviewTimeHours,filesChanged,description,result
Add --hide-ui-dir-config command line flag,2022-09-11T20:03:56Z,2022-09-12T10:24:14Z,2022-09-12T10:24:14Z,1,REVIEW_REQUIRED,14.338333333333333,2,626,Merged
Dir extras fix,2022-09-13T20:32:30Z,2022-09-14T05:58:14Z,2022-09-14T05:58:14Z,7,REVIEW_REQUIRED,9.428888888888888,6,144,Merged
Typo of prompt,2022-09-13T23:46:52Z,2022-09-14T05:35:27Z,2022-09-14T05:35:27Z,1,REVIEW_REQUIRED,5.809722222222222,1,0,Merged
[Feature] Implementation of prompt2prompt by Doggettx,2022-09-15T00:36:31Z,,2022-09-16T04:29:36Z,1,REVIEW_REQUIRED,27.884722222222223,0,1384,Closed
"RealESRGAN update, Diffusers, Transformers",2022-09-21T01:16:09Z,2022-09-22T04:21:54Z,2022-09-22T04:21:54Z,2,REVIEW_REQUIRED,27.095833333333335,4,493,Merged
Adding support for brace-expansion in prompts,2022-09-25T20:40:48Z,,2022-10-15T07:44:24Z,1,REVIEW_REQUIRED,467.06,2,672,Closed
Add `[datetime]` to file name pattern,2022-09-26T02:58:04Z,2022-09-26T13:24:21Z,2022-09-26T13:24:21Z,1,REVIEW_REQUIRED,10.438055555555556,2,329,Merged
"Model Loader, Fixes",2022-09-26T15:51:40Z,2022-09-30T06:35:58Z,2022-09-30T06:35:59Z,2,REVIEW_REQUIRED,86.73833333333333,23,808,Merged
implemented run on CPU & fixed bug with cuda test,2022-09-27T16:49:21Z,,2023-01-04T15:46:58Z,3,REVIEW_REQUIRED,2374.9602777777777,4,723,Closed
Add generation params to png files saved with the Save button,2022-09-28T04:02:06Z,,2022-09-28T19:19:50Z,4,REVIEW_REQUIRED,15.295555555555556,3,400,Closed
Fix broken send to extras,2022-09-28T19:55:43Z,,2022-09-29T06:46:11Z,5,REVIEW_REQUIRED,10.841111111111111,2,1894,Closed
Prompt weights v2. Now with groups,2022-09-28T22:05:59Z,,2023-01-04T14:13:47Z,1,REVIEW_REQUIRED,2344.13,2,1401,Closed
Model source installatoion readme instead of file name,2022-09-30T14:40:07Z,,2022-10-12T16:01:28Z,10,REVIEW_REQUIRED,289.35583333333335,4,0,Closed
