title,createdAt,mergedAt,closedAt,reviewsCount,reviewDecision,reviewTimeHours,filesChanged,description,result
Fixing the python and js packaging,2016-03-10T06:38:58Z,2016-03-11T03:33:09Z,2016-03-11T03:33:09Z,1,REVIEW_REQUIRED,20.903055555555557,12,338,Merged
Filter Enhancement (#933)  - Filter Value Dropdown,2016-09-02T19:34:42Z,,2017-06-12T20:46:47Z,2,REVIEW_REQUIRED,6793.201388888889,7,1438,Closed
[explore] refactor slice action button group,2016-09-07T23:54:23Z,2016-09-20T20:45:27Z,2016-09-20T20:45:27Z,6,CHANGES_REQUESTED,308.8511111111111,17,824,Merged
Generalize switch between different datasources,2016-09-08T07:40:21Z,2016-09-21T16:52:05Z,2016-09-21T16:52:05Z,16,REVIEW_REQUIRED,321.19555555555553,13,0,Merged
modify travis tests to create user with password for mysql and postgres,2016-09-12T05:12:19Z,,2016-09-19T19:18:11Z,5,REVIEW_REQUIRED,182.09777777777776,40,311,Closed
Implement permission request/approve flow. ,2016-09-12T16:30:03Z,2016-09-22T16:53:15Z,2016-09-22T16:53:15Z,10,CHANGES_REQUESTED,240.38666666666666,7,1602,Merged
More improvements to SQL Lab,2016-09-13T23:22:08Z,2016-09-19T22:28:10Z,2016-09-19T22:28:10Z,3,REVIEW_REQUIRED,143.10055555555556,20,0,Merged
Created store and reducers,2016-09-14T19:17:35Z,2016-09-21T18:38:07Z,2016-09-21T18:38:07Z,28,CHANGES_REQUESTED,167.34222222222223,13,430,Merged
Query Search Page,2016-09-16T00:04:30Z,2016-09-23T23:13:18Z,2016-09-23T23:13:18Z,14,CHANGES_REQUESTED,191.14666666666668,13,872,Merged
[security] prevent XSS on FAB list views,2016-09-16T16:45:19Z,2016-09-16T23:25:43Z,2016-09-16T23:25:43Z,2,REVIEW_REQUIRED,6.673333333333333,4,30,Merged
[security] allowing to set static headers as configuration,2016-09-16T23:03:21Z,2016-09-21T21:41:42Z,2016-09-21T21:41:42Z,3,REVIEW_REQUIRED,118.63916666666667,2,0,Merged
