title,createdAt,mergedAt,closedAt,reviewsCount,reviewDecision,reviewTimeHours,filesChanged,description,result
Initial Fuel HLL ,2021-01-25T22:40:31Z,2021-05-08T14:03:18Z,2021-05-08T14:03:18Z,15,REVIEW_REQUIRED,2463.3797222222224,81,2575,Merged
Make CI run on pushes to master or PRs,2021-05-08T14:38:31Z,2021-05-09T14:06:56Z,2021-05-09T14:06:56Z,4,REVIEW_REQUIRED,23.47361111111111,2,0,Merged
Initial skeleton documentation book,2021-05-08T18:00:13Z,2021-05-09T12:49:41Z,2021-05-09T12:49:41Z,1,REVIEW_REQUIRED,18.824444444444445,11,255,Merged
Testing harness,2021-05-09T14:09:55Z,2021-05-14T16:32:41Z,2021-05-14T16:32:41Z,3,REVIEW_REQUIRED,122.37944444444445,42,1266,Merged
"Use keyword syntax for determining if a file is a library, contract, script, or predicate.",2021-05-14T16:31:18Z,2021-05-15T20:44:43Z,2021-05-15T20:44:43Z,3,REVIEW_REQUIRED,28.22361111111111,11,111,Merged
Allow direct usage of reserved registers in inline assembly; misc fixes,2021-05-17T16:09:06Z,2021-05-18T19:25:27Z,2021-05-18T19:25:27Z,1,REVIEW_REQUIRED,27.2725,12,346,Merged
Allow declarations after usages; multi-pass compilation,2021-05-18T00:42:40Z,2021-05-18T21:50:51Z,2021-05-18T21:50:51Z,5,REVIEW_REQUIRED,21.136388888888888,19,382,Merged
Tool v1,2021-05-19T15:34:29Z,2021-05-21T11:57:07Z,2021-05-21T11:57:07Z,10,REVIEW_REQUIRED,44.37722222222222,75,264,Merged
Use minimal profile for toolchain CI,2021-05-19T21:21:01Z,2021-05-19T22:31:08Z,2021-05-19T22:31:08Z,1,REVIEW_REQUIRED,1.168611111111111,1,69,Merged
Register allocation and virtualized opcodes,2021-05-22T19:17:47Z,2021-05-23T17:57:56Z,2021-05-23T17:57:56Z,4,REVIEW_REQUIRED,22.669166666666666,18,915,Merged
Generate actual bytecode using `fuel_asm`,2021-05-23T18:02:19Z,2021-05-30T00:09:34Z,2021-05-30T00:09:34Z,15,REVIEW_REQUIRED,150.12083333333334,20,1022,Merged
Fix CI to use git CLI,2021-05-26T13:27:07Z,2021-05-26T15:28:53Z,2021-05-26T15:28:54Z,2,REVIEW_REQUIRED,2.0294444444444446,2,79,Merged
Remove vscode plugin,2021-05-26T13:38:06Z,2021-05-26T15:45:36Z,2021-05-26T15:45:36Z,2,REVIEW_REQUIRED,2.125,16,82,Merged
Add key for `fuel-tx` repo,2021-05-26T14:05:23Z,2021-05-26T15:28:41Z,2021-05-26T15:28:41Z,2,REVIEW_REQUIRED,1.3883333333333334,1,58,Merged
Rename Fume -> Sway,2021-05-26T20:57:28Z,2021-05-26T23:22:37Z,2021-05-26T23:22:37Z,1,REVIEW_REQUIRED,2.4191666666666665,34,51,Merged
E2E Tests using the VM,2021-05-28T15:47:13Z,2021-06-01T14:48:07Z,2021-06-01T14:48:07Z,3,REVIEW_REQUIRED,95.015,24,134,Merged
Basic mathematical stdlib functionality,2021-05-30T00:13:30Z,2021-06-03T13:32:12Z,2021-06-03T13:32:12Z,7,REVIEW_REQUIRED,109.31166666666667,4,588,Merged
Allow inclusion of multiple source files as dependencies for a single contract/script/etc.,2021-05-30T15:40:54Z,2021-06-09T14:15:42Z,2021-06-09T14:15:42Z,5,REVIEW_REQUIRED,238.58,32,1095,Merged
Add mvprun,2021-05-31T18:34:48Z,2021-06-07T15:51:44Z,2021-06-07T15:51:44Z,7,REVIEW_REQUIRED,165.28222222222223,5,283,Merged
fix #69 (function application parsing bug),2021-06-03T23:27:29Z,2021-06-04T14:37:25Z,2021-06-04T14:37:25Z,3,REVIEW_REQUIRED,15.165555555555555,9,150,Merged
Added initial version of the formatter,2021-06-05T08:16:32Z,2021-06-14T16:28:04Z,2021-06-14T16:28:04Z,2,REVIEW_REQUIRED,224.19222222222223,9,0,Merged
core-types: Initial implementation,2021-06-11T10:01:04Z,2021-06-17T07:58:20Z,2021-06-17T07:58:20Z,5,REVIEW_REQUIRED,141.95444444444445,4,126,Merged
Cli formatter,2021-06-16T16:15:24Z,2021-06-17T14:29:16Z,2021-06-17T14:29:16Z,7,REVIEW_REQUIRED,22.23111111111111,21,383,Merged
Implement Vec in the standard library; Bug Fixes,2021-06-16T16:51:00Z,,2021-06-29T15:34:17Z,2,REVIEW_REQUIRED,310.7213888888889,54,1216,Closed
Super basic intro docs,2021-06-17T05:21:09Z,2021-09-01T06:50:12Z,2021-09-01T06:50:12Z,4,REVIEW_REQUIRED,1825.4841666666666,11,118,Merged
Add Context to encapsulate debug ctx variants,2021-06-17T12:10:56Z,2021-06-17T14:00:05Z,2021-06-17T14:00:05Z,6,REVIEW_REQUIRED,1.8191666666666666,1,311,Merged
Remove license,2021-06-18T19:21:59Z,2021-06-21T13:39:49Z,2021-06-21T13:39:49Z,1,REVIEW_REQUIRED,66.29722222222222,2,0,Merged
Multiline comments,2021-06-21T12:42:40Z,2021-06-22T10:39:11Z,2021-06-22T10:39:12Z,3,REVIEW_REQUIRED,21.941944444444445,3,11,Merged
Formatter tests,2021-06-22T13:08:43Z,2021-06-22T14:10:04Z,2021-06-22T14:10:04Z,1,REVIEW_REQUIRED,1.0225,4,203,Merged
Improve comma,2021-06-23T11:26:09Z,2021-06-29T10:52:14Z,2021-06-29T10:52:14Z,4,REVIEW_REQUIRED,143.43472222222223,13,148,Merged
Bounty of features and bug fixes ,2021-06-24T20:38:54Z,2021-07-05T05:26:50Z,2021-07-05T05:26:50Z,4,REVIEW_REQUIRED,248.79888888888888,36,989,Merged
Forc deploy,2021-06-29T11:03:14Z,2021-07-02T08:53:32Z,2021-07-02T08:53:32Z,9,REVIEW_REQUIRED,69.83833333333334,7,90,Merged
Stdlib for contracts,2021-06-29T15:34:07Z,,2021-08-25T12:32:47Z,2,REVIEW_REQUIRED,1364.9777777777779,4,292,Closed
Enable GitHub-based remote dependencies,2021-06-29T17:13:16Z,2021-07-02T16:58:46Z,2021-07-02T16:58:46Z,19,REVIEW_REQUIRED,71.75833333333334,9,1247,Merged
