title,createdAt,mergedAt,closedAt,reviewsCount,reviewDecision,reviewTimeHours,filesChanged,description,result
Real-time Filesystem Notifications - WIP,2016-02-28T07:47:33Z,,2017-06-25T12:13:07Z,8,,11596.426111111112,76,2211,Closed
lib/connections: Add KCP support (fixes #804),2016-08-10T00:07:20Z,,2017-03-07T12:44:20Z,14,,5028.616666666667,181,566,Closed
"all: Add folder pause, make pauses optionally permanent (fixes #3407, fixes #215, fixes #3001)",2016-08-16T21:51:42Z,,2016-12-21T18:41:30Z,12,,3044.83,20,538,Closed
lib/model: Introducer can remove stuff it introduced (fixes #1015),2016-08-17T22:30:37Z,2016-11-07T16:40:48Z,2016-11-07T16:40:48Z,3,APPROVED,1962.1697222222222,6,442,Merged
"lib/model, lib/scanner: Efficient inserts/deletes in the middle of the file",2016-08-20T00:31:05Z,,2016-12-14T23:30:32Z,3,APPROVED,2806.9908333333333,16,469,Closed
Add Grey Theme,2016-09-17T02:06:51Z,,2016-10-19T00:27:54Z,2,APPROVED,766.3508333333333,1,242,Closed
Fix a bug on windows when using external versioner,2016-09-17T02:15:50Z,,2016-09-18T05:32:48Z,1,,27.282777777777778,1,1337,Closed
"Add ""Next Scan"" timestamp to folder view #3586",2016-09-25T20:15:58Z,,2017-02-04T10:53:36Z,3,,3158.6272222222224,6,1585,Closed
Diskchange api,2016-09-26T01:07:38Z,,2016-09-28T15:54:16Z,11,,62.77722222222222,5,748,Closed
Add the packaging metadata to build the syncthing snap,2016-09-30T02:46:22Z,,2016-10-20T09:16:33Z,7,,486.50305555555553,2,156,Closed
Update to accept relay clients listening on all interfaces,2016-10-04T22:11:54Z,,2016-10-05T19:13:50Z,1,CHANGES_REQUESTED,21.032222222222224,1,258,Closed
GUI display of global changes,2016-10-29T05:29:06Z,,2016-12-21T16:35:24Z,56,,1283.105,13,402,Closed
Sync files to disk when STFSYNC set (fixes #3711),2016-11-08T09:31:57Z,,2016-11-21T17:17:09Z,14,,319.75333333333333,8,276,Closed
Fixes to relay stuff,2016-11-11T22:53:25Z,,2016-11-13T08:33:51Z,4,,33.67388888888889,6,32,Closed
Log folder's ID and Label (fixes #3724),2016-11-17T15:29:53Z,,2016-11-21T19:11:08Z,2,,99.6875,5,160,Closed
lib/fs: The interface and basicfs,2016-11-21T18:53:58Z,,2016-11-24T12:07:17Z,2,,65.22194444444445,5,1442,Closed
lib/model: little cleanups in model.go,2016-11-28T21:11:48Z,,2016-12-06T08:54:08Z,2,,179.70555555555555,1,90,Closed
etc: updated ufw firewall application preset,2016-11-30T11:59:31Z,,2016-12-01T12:36:18Z,2,,24.613055555555555,2,80,Closed
lib/model: Double check results in filepath.Join where needed,2016-11-30T12:54:28Z,,2016-12-01T12:35:14Z,9,,23.679444444444446,3,180,Closed
lib/model: Temp names from all platforms should be recognized as such,2016-11-30T14:44:09Z,,2016-11-30T21:23:28Z,1,,6.655277777777778,3,31,Closed
Add write-only folder type,2016-12-01T15:13:06Z,,2017-06-25T12:13:43Z,57,,4941.010277777777,16,1923,Closed
lib/model: Prevent symlink traversals,2016-12-02T20:06:25Z,,2016-12-09T10:04:31Z,6,,157.96833333333333,16,1090,Closed
"lib/model, lib/protocol, lib/scanner: Include symlink target in index, pull symlinks synchronously",2016-12-09T09:47:48Z,,2016-12-09T18:02:21Z,6,,8.2425,12,996,Closed
Rename folder types,2016-12-09T13:55:00Z,,2016-12-16T22:23:38Z,21,,176.47722222222222,13,392,Closed
"lib/model, lib/osutil: Verify target directory before pulling / requesting",2016-12-09T21:16:28Z,,2016-12-13T10:24:13Z,2,,85.12916666666666,6,1139,Closed
Check file names for conflicts on Windows,2016-12-17T08:06:47Z,,2017-06-25T12:14:57Z,3,,4564.136111111111,14,495,Closed
lib/model: Consistently show folder description in startup messages,2016-12-19T09:37:59Z,,2016-12-21T11:23:24Z,4,,49.75694444444444,3,258,Closed
Small features,2016-12-20T20:39:00Z,2016-12-21T10:01:16Z,2016-12-21T10:01:16Z,2,,13.37111111111111,86,26,Merged
lib/model: Allow updates to deleted files (fixes #3839),2016-12-24T20:42:41Z,,2017-01-15T12:35:29Z,5,,519.88,1,113,Closed
Add support for -auditfile=<target>,2017-01-02T08:25:16Z,,2017-01-03T08:54:32Z,3,,24.48777777777778,1,2212,Closed
lib/connections: Allow on the fly changes to rate limits (fixes #3846),2017-01-02T08:50:29Z,,2017-01-02T11:29:24Z,5,,2.6486111111111112,19,416,Closed
gui: Package attribution and copyright bumps (fixes #3861),2017-01-02T14:05:14Z,,2017-01-10T07:50:16Z,3,,185.75055555555556,5,0,Closed
Add a systemd script for Syncthing relay,2017-01-04T17:17:09Z,,2017-06-25T12:15:16Z,3,,4122.968611111111,1,146,Closed
lib/model: Remove syncthing-specific files (fixes #3819),2017-01-05T05:23:46Z,,2017-01-07T17:05:34Z,3,,59.696666666666665,1,184,Closed
lib/osutil: IsDir returns true if path does not exist (fixes #3839),2017-01-07T17:02:44Z,,2017-01-10T07:09:35Z,1,,62.11416666666667,5,269,Closed
lib/osutil: Replace IsDir with TraversesSymlink (fixes #3839),2017-01-07T22:58:24Z,,2017-01-10T07:53:22Z,1,,56.916111111111114,5,113,Closed
Simple solution for issue #2299 (Auto-accepted shared folders from trusted devices),2017-01-10T19:19:03Z,,2017-02-04T09:47:11Z,3,,590.4688888888888,4,1419,Closed
lib/ignore: Centralize handling of temporary filenames (fixes #3899),2017-01-13T10:36:26Z,,2017-01-17T07:33:52Z,3,,92.95722222222223,7,1295,Closed
cmd/syncthing: Fix rescan delay in /rest/db/scan,2017-01-24T12:41:59Z,,2017-02-05T18:17:48Z,5,,293.59694444444443,1,442,Closed
gui: Remaining sync bytes in folder header (fixes #3908),2017-01-24T14:57:35Z,,2017-01-26T09:39:52Z,3,,42.70472222222222,2,120,Closed
"lib/events: Add timeout to events API, remove Ping (fixes #3933)",2017-01-27T09:37:51Z,,2017-01-31T12:04:33Z,37,,98.445,11,1069,Closed
"gui, lib/config: Add notification about new release channels",2017-01-30T22:16:40Z,,2017-02-04T09:45:21Z,5,,107.47805555555556,5,319,Closed
"lib/weakhash, lib/model, cmd/syncthing: Decide if to use weakhash on startup (fixes #3938)",2017-01-31T21:56:56Z,,2017-02-06T10:27:15Z,8,,132.5052777777778,12,5,Closed
"all: Remove symlink support on Windows, SymlinksEnabled config",2017-02-06T10:00:49Z,,2017-02-07T08:34:29Z,1,,22.56111111111111,28,916,Closed
"GUI: Added ""Pause All Folders"" and ""Resume All Folders buttons",2017-02-08T21:06:47Z,,2017-02-09T20:31:27Z,11,,23.41111111111111,2,91,Closed
Filesystem Notification - Continuation,2017-02-13T19:18:59Z,,2017-10-20T14:53:00Z,88,,5971.566944444445,62,279,Closed
"cmd/syncthing, lib/config: Pause/resume all devices whithout argument",2017-02-14T23:25:41Z,,2017-03-04T07:54:17Z,1,,416.4766666666667,3,334,Closed
"lib/model, gui: Allow creating and editing ignores of paused folders",2017-02-21T14:08:38Z,,2017-04-01T09:58:10Z,47,,931.8255555555555,12,866,Closed
core/languageSelectdirective: Sorted languages alphabetically (fixes …,2017-03-20T16:28:16Z,,2017-03-22T05:15:36Z,1,,36.78888888888889,1,718,Closed
lib/scanner: Use fs.Filesystem for all operations,2017-03-30T10:23:52Z,,2017-04-01T09:04:15Z,16,,46.67305555555556,13,475,Closed
"lib/connections, lib/model, gui: Specify allowed networks per device (fixes #219)",2017-03-30T16:29:43Z,,2017-04-01T09:52:35Z,3,,41.38111111111111,8,1102,Closed
"gui, lib/config, lib/model: Allow absolute values for minimum disk free space (fixes #3307)",2017-04-06T12:03:28Z,,2017-04-12T09:01:23Z,6,,140.96527777777777,14,680,Closed
cmd/syncthing: Allow custom event subscriptions (fixes #1879),2017-04-11T08:18:02Z,,2017-04-13T17:14:38Z,4,,56.943333333333335,4,725,Closed
lib/model: Create root directory for paused folders (fixes #4094),2017-04-13T17:30:46Z,,2017-04-23T23:50:59Z,5,,246.33694444444444,3,199,Closed
"lib/fs, lib/model, lib/scanner: Make scans cancellable (fixes #3965)",2017-04-25T21:57:41Z,,2017-04-26T00:15:27Z,1,,2.296111111111111,17,1046,Closed
Filesystem Notifications - UI,2017-04-26T10:25:01Z,,2018-03-14T16:18:51Z,2,,7733.897222222222,6,224,Closed
script: Ignore units and allow translated strings as translate-values,2017-04-26T10:41:48Z,,2017-04-29T15:48:04Z,2,,77.10444444444444,1,716,Closed
cmd/syncthing: Warn when running as a super user (fixes #4123),2017-05-14T16:14:16Z,,2017-05-15T05:42:25Z,2,,13.469166666666666,3,377,Closed
Nodename in conflictfile,2017-05-20T20:13:43Z,,2017-05-25T10:26:45Z,12,,110.21722222222222,1,609,Closed
"lib/model: Use up to date device name, do not provide name to unknown devices (fixes #4164)",2017-05-22T18:53:13Z,,2017-05-22T19:58:37Z,4,,1.09,7,66,Closed
Add ability to ignore folders offered by other nodes,2017-05-29T07:00:21Z,,2017-05-31T18:04:04Z,14,,59.06194444444444,6,696,Closed
gui: Add dropdown menu to choose discovered devices to device modal (fixes #4157),2017-05-31T21:32:14Z,,2017-06-16T15:27:13Z,5,,377.9163888888889,3,337,Closed
"gui, lib/config: Add default path for new folders (fixes #2157)",2017-06-03T15:37:51Z,,2017-07-20T13:16:57Z,6,,1125.6516666666666,4,657,Closed
Convert folders to use filesystem abstraction,2017-06-25T23:38:07Z,,2017-08-19T14:37:00Z,37,,1310.981388888889,78,834,Closed
Build: Add maximum compression,2017-06-26T20:42:13Z,,2017-07-17T13:20:16Z,3,,496.63416666666666,1,724,Closed
Gui Accessibility,2017-07-13T18:15:45Z,,2017-07-15T09:54:41Z,1,,39.64888888888889,10,524,Closed
lib/model: resolve file conflicts for new file (#3742),2017-07-21T03:32:56Z,,2017-08-22T07:18:56Z,2,,771.7666666666667,2,288,Closed
"lib/versioner: Clean the versions dir of symlinks, not the full folder",2017-08-08T11:23:40Z,,2017-08-08T13:13:12Z,2,,1.8255555555555556,9,50,Closed
lib/ignore: Consistent behaviour for nil *Matcher,2017-08-21T08:17:17Z,,2017-09-06T06:39:23Z,3,,382.36833333333334,2,263,Closed
WIP: Encrypted folders,2017-08-27T10:47:27Z,,2018-08-23T06:33:26Z,1,,8659.76638888889,22,651,Closed
lib/tlsutil: Remove undesired bufio from UnionedConnection (ref #4245),2017-08-31T06:23:02Z,,2017-08-31T07:34:53Z,1,,1.1975,3,528,Closed
lib/model: Trigger pulls instead of pulling periodically,2017-09-01T22:57:54Z,,2017-11-07T06:59:40Z,14,,1592.0294444444444,5,176,Closed
lib: Folder marker is now a folder,2017-09-02T02:00:33Z,,2017-09-02T05:52:42Z,3,,3.8691666666666666,16,83,Closed
cmd/syncthing: Add more stats to usage reports (ref #3628),2017-09-03T13:53:33Z,,2017-10-12T06:16:56Z,6,,928.3897222222222,23,63,Closed
lib/model: Support removing paused folders (fixes #4357),2017-09-09T13:12:49Z,,2017-09-09T15:09:04Z,3,,1.9375,2,16,Closed
Add -device-id command line option (fixes #4387),2017-09-21T15:49:35Z,,2017-09-25T06:05:26Z,5,,86.26416666666667,1,355,Closed
Small changes,2017-09-23T14:27:36Z,,2017-10-12T06:26:40Z,8,,447.9844444444444,6,17,Closed
chore: gnome-shell autostart,2017-09-23T20:08:10Z,,2018-04-20T06:45:58Z,9,,5002.63,2,132,Closed
add multiple listeners support for the Webui,2017-09-26T19:15:00Z,,2018-01-03T08:30:15Z,51,,2365.2541666666666,5,1149,Closed
Add FreeBSD rc.d script,2017-10-08T09:41:22Z,,2017-10-08T17:29:57Z,4,,7.809722222222222,2,205,Closed
Add -pkgDir parameter for build script,2017-10-13T07:54:17Z,,2017-10-13T09:24:43Z,2,,1.5072222222222222,1,263,Closed
Webui: add support for multiple gui configurations,2017-10-18T13:09:59Z,,2018-11-09T11:52:23Z,49,,9286.706666666667,7,1746,Closed
gui: versioner->versioning and add missing translations,2017-10-19T12:23:45Z,,2017-10-20T13:55:27Z,2,,25.528333333333332,5,296,Closed
main: Improve logging for initial config loading (ref #4431),2017-10-19T13:37:27Z,,2017-10-21T09:00:29Z,3,,43.38388888888889,1,482,Closed
lib/fs: Sync does not fail (fixes #4432),2017-10-21T18:46:11Z,,2017-10-21T22:00:52Z,2,,3.2447222222222223,3,3,Closed
"lib/model, lib/config: Refactor folder health/error handling (fixes #4445 #4451)",2017-10-22T19:27:26Z,,2017-10-24T07:59:01Z,13,,36.52638888888889,9,298,Closed
all: add invalid/ignored files to global list (fixes #623),2017-10-24T20:34:39Z,,2017-11-11T19:18:22Z,10,,430.7286111111111,17,950,Closed
cmd/syncthing: Accept pre-hashed password in config POST (fixes #4458),2017-10-26T12:08:17Z,,2017-11-06T14:22:16Z,1,,266.23305555555555,1,282,Closed
all: Configurable folder marker name (fixes #1126),2017-11-04T13:01:09Z,,2017-11-05T09:09:07Z,2,,20.13277777777778,10,590,Closed
lib/connections:  Indicate stack in transport (fixes #4463),2017-11-06T13:11:06Z,,2017-11-07T07:25:10Z,3,,18.234444444444446,1,21,Closed
lib/connections: Parallel dials in the same priority (fixes #4456),2017-11-06T14:31:57Z,,2017-11-15T09:36:39Z,10,,211.07833333333335,2,149,Closed
lib/model: Improve scan scheduling and dir del during pull (fixes #4475 #4476),2017-11-07T15:01:44Z,,2017-12-07T08:42:09Z,28,,713.6736111111111,4,1345,Closed
lib/db: Refactor away the large genericReplace thing,2017-11-09T14:37:08Z,,2017-11-12T20:20:39Z,1,,77.72527777777778,5,816,Closed
lib/model: Handle type changes when pulling (ref #4505 #4506 #4507),2017-11-13T12:22:40Z,,2017-11-13T15:16:33Z,4,,2.8980555555555556,2,80,Closed
lib/connections: Consistent log levels & polish (fixes #4510),2017-11-14T08:22:35Z,,2017-11-14T21:49:41Z,13,,13.451666666666666,8,358,Closed
lib/versioner: Purge the empty directories in .stversions (fixes #4406),2017-11-16T14:13:19Z,,2017-11-18T15:56:58Z,7,,49.7275,8,929,Closed
lib/connections: Trust the model to tell us if we are connected,2017-11-20T19:59:50Z,,2017-11-21T07:25:44Z,2,,11.431666666666667,8,853,Closed
lib/connections: Fix local address priority,2017-11-20T22:57:40Z,,2017-11-22T07:05:55Z,3,,32.1375,9,613,Closed
"lib/config: Support symlinked root (fixes #4542, fixes #4353)",2017-11-23T21:48:45Z,,2017-11-26T07:51:28Z,5,,58.04527777777778,2,16,Closed
lib/db: Keep folder meta data persistently in db (fixes #4400),2017-11-24T17:39:19Z,,2017-12-14T09:51:22Z,7,,472.2008333333333,14,1237,Closed
"lib/osutil, lib/scanner: Run symlink test on Windows when possible",2017-11-25T10:27:27Z,,2017-11-25T21:49:58Z,3,,11.375277777777777,3,275,Closed
Autoaccept,2017-11-25T21:28:52Z,,2017-12-07T07:08:29Z,18,,273.66027777777776,22,435,Closed
"gui, lib/model: Display list of files needed by remote (fixes #4369)",2017-11-28T20:35:49Z,,2017-12-15T20:02:02Z,40,APPROVED,407.43694444444446,10,535,Closed
gui/default: Add confirmation dialog when removing folder (fixes #4543),2017-11-30T19:15:38Z,,2017-12-02T11:28:12Z,3,,40.20944444444444,9,418,Closed
lib/model: Mark files below newly created symlinks as deleted (fixes #2571),2017-12-04T13:05:56Z,,2018-02-14T21:06:31Z,3,,1736.0097222222223,2,577,Closed
 lib/dialer: Register dialer for socks URL scheme (fixes #4515),2017-12-07T20:24:11Z,,2017-12-08T12:04:49Z,4,,15.677222222222222,1,1417,Closed
"lib/model, lib/scanner: More precise deletion detection (fixes #2571, fixes #4573)",2017-12-10T14:25:57Z,2018-02-10T15:56:54Z,2018-02-10T15:56:54Z,25,APPROVED,1489.5158333333334,9,906,Merged
lib/model: Don't leak fd when truncate fails (fixes #4593),2017-12-12T10:50:07Z,,2017-12-14T10:42:45Z,3,,47.87722222222222,1,145,Closed
cmd/syncthing: UI for version restoration (fixes #2599),2017-12-16T23:53:52Z,2018-01-01T14:39:24Z,2018-01-01T14:39:24Z,12,,374.75888888888886,33,708,Merged
" lib/connections, lib/config: Bandwidth throttling per remote device (fixes #4516)",2017-12-17T15:17:48Z,2018-03-26T10:02:00Z,2018-03-26T10:02:00Z,34,APPROVED,2370.7366666666667,6,811,Merged
gui: Add log viewer (fixes #2644),2017-12-17T17:49:00Z,,2017-12-24T22:26:11Z,7,,172.6197222222222,7,282,Closed
Cleanup: simplifies conditions,2017-12-29T11:18:33Z,,2017-12-29T13:14:45Z,6,,1.9366666666666668,2,77,Closed
lib/fs: Handle deduplicated files on NTFS (fixes #1845),2017-12-29T15:57:36Z,,2017-12-29T21:23:11Z,4,,5.426388888888889,4,478,Closed
WIP: Lower priority,2017-12-31T13:50:40Z,,2018-01-14T09:53:00Z,5,,332.0388888888889,7,25,Closed
lib/fs: harmonize CreateSymlink definitions (fixes #4567),2018-01-01T17:15:08Z,,2018-01-14T14:25:09Z,4,,309.1669444444444,4,24,Closed
build: adds flag for debugging the binary with delve,2018-01-01T19:21:38Z,,2018-01-03T08:07:21Z,4,,36.761944444444445,1,200,Closed
PoC: single global folder scanner (as opt-in),2018-01-01T22:18:17Z,,2018-01-31T21:30:59Z,8,,719.2116666666667,8,237,Closed
lib/model: Fix panic when auto-accepting existing paused folder (fixes #4636),2018-01-02T13:43:53Z,,2018-01-03T07:42:30Z,3,,17.976944444444445,2,251,Closed
lib/scanner: little bit de-obfuscating the code ;),2018-01-02T19:39:57Z,,2018-01-14T14:30:15Z,15,,282.8383333333333,5,58,Closed
Add icon & file info to syncthing.exe,2018-01-05T00:32:17Z,,2018-03-26T02:25:21Z,2,,1921.8844444444444,18,1447,Closed
cmd/stdiscosrv: New discovery server (ref #4618),2018-01-05T14:16:54Z,,2018-01-14T08:52:36Z,38,,210.595,864,2504,Closed
gui: New rest endpoint to get errors when web UI is opened,2018-01-05T21:42:36Z,,2018-01-14T17:01:11Z,10,,211.30972222222223,10,533,Closed
"lib/connections, lib/model: Additional connection info in logs (fixes #4499)",2018-01-11T21:02:16Z,,2018-01-12T11:27:59Z,1,,14.428611111111111,4,116,Closed
Test and fix added for cases where the the root folder path is linked to via …,2018-01-12T06:34:32Z,,2018-01-24T00:05:51Z,30,,281.52194444444444,6,1063,Closed
lib/model: Microoptimization of unifySubs and blockDiff,2018-01-14T16:47:29Z,,2018-01-14T21:52:45Z,4,,5.087777777777778,4,693,Closed
"cmd/syncthing, lib/config, lib/osutil: Lower process priority (fixes #4628)",2018-01-15T16:06:11Z,,2018-01-15T17:11:19Z,7,,1.0855555555555556,7,634,Closed
lib/osutil: Don't attempt to reduce our niceness level (fixes #4681),2018-01-17T12:53:23Z,,2018-01-18T08:35:00Z,3,,19.69361111111111,2,87,Closed
lib/db: Do not modify underlying array of argument,2018-01-18T01:08:51Z,,2018-01-18T12:40:48Z,7,,11.5325,2,422,Closed
lib/config: Reject empty folder IDs,2018-01-24T08:31:46Z,,2018-01-27T09:06:42Z,1,,72.58222222222223,2,256,Closed
all: Implement variable block size,2018-01-27T08:56:57Z,2018-04-16T18:08:50Z,2018-04-16T18:08:50Z,4,APPROVED,1905.1980555555556,27,272,Merged
lib/fs: Introduce walkfs debug facility,2018-01-27T13:52:02Z,2018-02-05T10:07:57Z,2018-02-05T10:07:57Z,6,APPROVED,212.26527777777778,2,349,Merged
all: Display fs watcher status and retry starting it (ref #4552),2018-01-27T17:16:10Z,2018-02-04T21:46:25Z,2018-02-04T21:46:25Z,5,APPROVED,196.50416666666666,6,1143,Merged
dockerfile: Add Dockerfile,2018-02-04T14:42:42Z,2018-02-04T21:43:15Z,2018-02-04T21:43:15Z,4,,7.009166666666666,1,140,Merged
gui: Handle paused folders and fix translation strings for fs watcher (ref #4713),2018-02-05T10:59:42Z,2018-02-07T12:46:28Z,2018-02-07T12:46:28Z,1,APPROVED,49.779444444444444,2,1056,Merged
Remove KCP (fixes #4737),2018-02-07T16:13:13Z,2018-02-09T10:40:58Z,2018-02-09T10:40:58Z,1,APPROVED,42.4625,54,47,Merged
lib/protocol: Invalid files should always lose,2018-02-09T12:27:53Z,2018-02-10T18:40:57Z,2018-02-10T18:40:57Z,1,APPROVED,30.217777777777776,3,0,Merged
Dynamic number of pullers,2018-02-09T13:10:33Z,2018-02-25T09:14:02Z,2018-02-25T09:14:02Z,7,APPROVED,380.05805555555554,9,672,Merged
" lib: Handle metadata changes for send-only folders (fixes #4616, fixes #4627)",2018-02-10T21:34:47Z,2018-02-25T08:39:01Z,2018-02-25T08:39:01Z,9,APPROVED,347.07055555555553,10,948,Merged
lib/scanner: Error handling in walk function (fixes #4753),2018-02-13T08:21:01Z,2018-02-13T10:02:07Z,2018-02-13T10:02:07Z,2,APPROVED,1.685,1,317,Merged
all: Revert simultaneously walk fs and db on scan,2018-02-13T20:49:49Z,2018-02-14T07:59:47Z,2018-02-14T07:59:47Z,1,APPROVED,11.16611111111111,9,396,Merged
lib/fs: Fix MkdirAll failure due to \\?\,2018-02-14T14:40:53Z,2018-02-16T14:19:20Z,2018-02-16T14:19:20Z,1,APPROVED,47.64083333333333,3,926,Merged
"lib/model: More precise deletion detection (fixes #2571, fixes #4573)",2018-02-14T21:25:06Z,2018-02-25T08:27:55Z,2018-02-25T08:27:55Z,2,APPROVED,251.04694444444445,3,235,Merged
lib/model: Verify request content against weak hash,2018-02-16T21:56:53Z,2018-05-05T08:24:45Z,2018-05-05T08:24:45Z,17,APPROVED,1858.4644444444446,27,94,Merged
cmd/strelaysrv: Don't patch the default HTTP client (fixes #4745),2018-02-21T07:45:01Z,2018-02-21T14:56:04Z,2018-02-21T14:56:04Z,1,APPROVED,7.184166666666667,2,97,Merged
cmd/strelaypoolsrv: Return better error codes and messages,2018-02-21T10:37:28Z,2018-02-21T11:53:49Z,2018-02-21T11:53:49Z,1,APPROVED,1.2725,1,252,Merged
lib/model: Don't panic if block size in index is larger than protocol block size,2018-02-24T07:48:38Z,2018-02-24T12:34:24Z,2018-02-24T12:34:24Z,1,APPROVED,4.762777777777778,1,156,Merged
cmd/syncthing: Reset delta indexes after the latest index changes,2018-02-25T09:15:46Z,2018-02-26T22:22:20Z,2018-02-26T22:22:20Z,4,APPROVED,37.10944444444444,2,159,Merged
lib/model: Mark deleted file as conflicting when un-ignoring,2018-02-25T10:04:39Z,2018-02-25T12:03:55Z,2018-02-25T12:03:56Z,1,APPROVED,1.9877777777777779,1,108,Merged
lib/model: Only create conflict copies when the contents differ (fixes #4785),2018-03-04T07:18:32Z,,2018-03-04T13:38:58Z,2,,6.3405555555555555,2,107,Closed
all: Transition to using fs watcher by default (fixes #4552),2018-03-07T10:34:47Z,2018-03-25T20:05:48Z,2018-03-25T20:05:48Z,8,APPROVED,441.51694444444445,13,1169,Merged
cmd/syncthing: More information in help about -logfile option,2018-03-09T08:35:08Z,2018-03-12T12:17:13Z,2018-03-12T12:17:13Z,1,APPROVED,75.70138888888889,1,62,Merged
"cmd/syncthing, lib/db: Be nicer about dropping deltas on upgrade",2018-03-10T08:56:04Z,2018-03-10T10:42:04Z,2018-03-10T10:42:04Z,3,APPROVED,1.7666666666666666,3,550,Merged
" lib/scanner, lib/fs: Don't create file infos with abs paths (fixes #4799)",2018-03-10T11:41:53Z,2018-03-12T12:19:00Z,2018-03-12T12:19:00Z,15,APPROVED,48.618611111111115,11,201,Merged
"lib/fs, lib/model: Make tests caching compatible (fixes #4749)",2018-03-12T19:03:43Z,2018-03-13T13:03:11Z,2018-03-13T13:03:11Z,2,APPROVED,17.99111111111111,8,286,Merged
vendor: Don't panic in FS watcher on old FreeBSD (fixes #4806),2018-03-13T07:21:40Z,2018-03-13T12:31:27Z,2018-03-13T12:31:27Z,1,APPROVED,5.163055555555555,2,498,Merged
