title,createdAt,mergedAt,closedAt,reviewsCount,reviewDecision,reviewTimeHours,filesChanged,description,result
feat(proton) initial packages for webview and binding-rust,2019-07-14T02:55:46Z,2019-07-14T12:47:29Z,2019-07-14T12:47:29Z,4,REVIEW_REQUIRED,9.861944444444445,72,123,Merged
fix(ffi) define struct,2019-07-20T09:50:37Z,2019-07-20T17:50:07Z,2019-07-20T17:50:07Z,1,APPROVED,7.991666666666666,1,1914,Merged
chore(merge) feature/bundle fork,2019-07-20T19:50:44Z,2019-07-20T21:42:08Z,2019-07-20T21:42:08Z,1,REVIEW_REQUIRED,1.8566666666666667,29,1739,Merged
feat(MSI bundler) Basic functionality. ,2019-08-07T22:42:56Z,2019-08-20T14:33:49Z,2019-08-20T14:33:49Z,3,REVIEW_REQUIRED,303.84805555555556,9,1440,Merged
chore(project) rename to tauri,2019-08-13T23:34:05Z,2019-08-14T11:24:08Z,2019-08-14T11:24:09Z,1,APPROVED,11.834166666666667,49,1488,Merged
feat(tauri) core template isolated,2019-08-16T02:51:53Z,2019-08-16T10:58:31Z,2019-08-16T10:58:31Z,2,APPROVED,8.110555555555555,8,1487,Merged
feat(tauri) initial work for the CLI,2019-08-18T21:49:47Z,2019-08-19T21:09:30Z,2019-08-19T21:09:30Z,11,APPROVED,23.328611111111112,18,1487,Merged
fix(tauri) embedded-server edge case with config host,2019-08-22T01:25:07Z,2019-08-22T07:52:02Z,2019-08-22T07:52:02Z,1,APPROVED,6.448611111111111,6,2078,Merged
fix(tauri) event system init on windows fixed,2019-08-23T13:30:01Z,2019-08-23T14:39:42Z,2019-08-23T14:39:42Z,3,APPROVED,1.1613888888888888,4,1487,Merged
feat(ui) webview impl on separate files,2019-08-25T12:00:56Z,2019-09-12T19:37:40Z,2019-09-12T19:37:40Z,2,APPROVED,439.6122222222222,9,1579,Merged
feat(docs): purge for external documentation page,2019-09-14T17:04:31Z,2019-09-15T08:52:08Z,2019-09-15T08:52:08Z,1,REVIEW_REQUIRED,15.793611111111112,111,95,Merged
feat(bundler) appimage,2019-09-24T22:09:22Z,2019-11-26T20:16:21Z,2019-11-26T20:16:21Z,1,APPROVED,1510.1163888888889,9,197,Merged
Feat(bundler) dmg bundler,2019-09-25T17:10:33Z,2019-10-07T20:03:19Z,2019-10-07T20:03:19Z,1,APPROVED,290.87944444444446,6,185,Merged
Refactor(Tauri) Rust 2018,2019-09-25T17:32:09Z,2019-10-07T11:15:34Z,2019-10-07T11:15:34Z,1,REVIEW_REQUIRED,281.7236111111111,7,226,Merged
Feature/edge(ui),2019-10-05T21:34:12Z,2019-10-07T18:42:26Z,2019-10-07T18:42:26Z,1,APPROVED,45.13722222222222,2,1510,Merged
Github Actions CI Process - Build Rust,2019-10-31T13:55:06Z,2019-11-02T08:36:16Z,2019-11-02T08:36:16Z,1,APPROVED,42.68611111111111,1,1355,Merged
feat(icons): add and test icon generation for tauri,2019-11-17T16:03:17Z,2019-11-17T21:30:15Z,2019-11-17T21:30:15Z,1,APPROVED,5.4494444444444445,19,521,Merged
Configure Renovate,2019-11-26T21:32:02Z,2019-11-28T07:51:38Z,2019-11-28T07:51:39Z,1,APPROVED,34.32666666666667,1,11847,Merged
chore(monorepo): cleanup,2019-11-27T00:35:50Z,2019-11-27T22:26:25Z,2019-11-27T22:26:25Z,2,CHANGES_REQUESTED,21.843055555555555,160,156,Merged
fix(bundler): add use declarations where necessary,2019-11-27T22:05:45Z,2019-11-27T23:24:52Z,2019-11-27T23:24:53Z,1,APPROVED,1.3186111111111112,1,2612,Merged
fix(test): fix Jest tests,2019-11-28T01:25:33Z,2019-11-28T07:41:48Z,2019-11-28T07:41:48Z,1,APPROVED,6.270833333333333,3,1565,Merged
Pin dependencies,2019-11-28T07:52:06Z,2019-11-30T13:19:55Z,2019-11-30T13:19:55Z,1,REVIEW_REQUIRED,53.46361111111111,2,6305,Merged
fix(ci): install webkit2gtk on ubuntu before building,2019-11-29T19:47:40Z,2019-11-30T09:58:41Z,2019-11-30T09:58:41Z,2,APPROVED,14.18361111111111,1,1697,Merged
Update bundler crates. Fix errors related to updated versions of imag…,2019-11-29T22:35:49Z,2019-11-30T09:04:42Z,2019-11-30T09:04:42Z,2,REVIEW_REQUIRED,10.481388888888889,5,1599,Merged
Update dependency fast-glob to v3.1.1,2019-11-30T14:51:51Z,2019-12-01T12:27:37Z,2019-12-01T12:27:37Z,1,APPROVED,21.59611111111111,2,3344,Merged
chore/upgrades node,2019-11-30T15:04:08Z,2019-11-30T18:39:14Z,2019-11-30T18:39:14Z,3,APPROVED,3.585,16,1521,Merged
[WIP] example / gatsby / themed-site,2019-12-01T05:03:16Z,2019-12-02T14:20:21Z,2019-12-02T14:20:21Z,2,APPROVED,33.28472222222222,32,722,Merged
combine jobs and add step with conditional,2019-12-01T06:06:12Z,2019-12-01T12:26:29Z,2019-12-01T12:26:29Z,1,APPROVED,6.338055555555556,1,1068,Merged
schedule renovate to tone down noisiness,2019-12-01T06:33:10Z,2019-12-01T12:25:41Z,2019-12-01T12:25:41Z,1,APPROVED,5.875277777777778,1,683,Merged
build all smoke tests and artifact fixes,2019-12-02T19:36:57Z,2019-12-02T22:48:44Z,2019-12-02T22:48:44Z,1,APPROVED,3.196388888888889,3,855,Merged
[WIP] github actions rust cache,2019-12-03T04:27:32Z,2019-12-04T19:24:27Z,2019-12-04T19:24:27Z,4,REVIEW_REQUIRED,38.94861111111111,1,932,Merged
event API testing,2019-12-03T13:23:15Z,2019-12-03T16:08:08Z,2019-12-03T16:08:08Z,1,APPROVED,2.7480555555555557,19,1483,Merged
feat(tauri.js/tauri-config): throw error if req'd files don't exist,2019-12-05T23:28:13Z,2019-12-06T11:44:30Z,2019-12-06T11:44:30Z,2,APPROVED,12.27138888888889,1,1607,Merged
[WIP] Optimizing dependencies to remove bloat ,2019-12-07T23:47:48Z,2019-12-12T20:21:03Z,2019-12-12T20:21:03Z,1,APPROVED,116.55416666666666,4,1614,Merged
Refactor tauri.js to move command code outside of bin files,2019-12-09T01:10:11Z,2019-12-10T20:44:50Z,2019-12-10T20:44:50Z,2,APPROVED,43.5775,10,1855,Merged
chore(deps): update dependency eslint-plugin-import to v2.19.1,2019-12-10T03:23:43Z,2019-12-10T09:35:56Z,2019-12-10T09:35:56Z,1,APPROVED,6.203611111111111,2,4528,Merged
chore(deps): update dependency lockfile-lint to v2.2.0,2019-12-10T03:23:55Z,2019-12-10T09:37:24Z,2019-12-10T09:37:24Z,1,REVIEW_REQUIRED,6.224722222222222,2,2981,Merged
fix(deps): update dependency sharp to v0.23.4,2019-12-10T04:38:38Z,2019-12-10T09:30:01Z,2019-12-10T09:30:01Z,1,APPROVED,4.856388888888889,2,1311,Merged
fix(deps): update rust crate serde_json to 1.0.44,2019-12-10T04:40:59Z,,2019-12-10T19:10:47Z,1,CHANGES_REQUESTED,14.496666666666666,1,986,Closed
