title,createdAt,mergedAt,closedAt,reviewsCount,reviewDecision,reviewTimeHours,filesChanged,description,result
Fix link,2017-09-25T06:25:27Z,2017-09-25T08:03:20Z,2017-09-25T08:03:20Z,1,APPROVED,1.631388888888889,1,0,Merged
Changed to gender neutral rather than male only,2017-09-25T21:27:24Z,2017-09-25T23:39:01Z,2017-09-25T23:39:01Z,1,APPROVED,2.193611111111111,1,0,Merged
return -1 if target is not in array,2017-09-28T16:00:37Z,2017-09-30T13:51:37Z,2017-09-30T13:51:37Z,2,,45.85,2,84,Merged
"Grammar fixes for tense, punctuation and wording.",2017-10-01T15:57:48Z,2017-10-01T17:20:37Z,2017-10-01T17:20:37Z,3,,1.3802777777777777,1,107,Merged
Added Elevator Pitch section,2017-10-03T21:42:09Z,2017-10-04T17:00:29Z,2017-10-04T17:00:29Z,2,,19.305555555555557,1,0,Merged
Create mergeSort.js,2017-10-09T18:01:44Z,2017-10-10T02:48:24Z,2017-10-10T02:48:24Z,1,CHANGES_REQUESTED,8.777777777777779,1,0,Merged
Interview questions,2018-01-20T06:08:46Z,,2018-01-20T17:31:26Z,1,CHANGES_REQUESTED,11.377777777777778,2,83,Closed
Fix grammar/phrasing and typos in behavioral.md,2018-03-29T06:41:32Z,2018-03-29T07:49:40Z,2018-03-29T07:49:40Z,1,APPROVED,1.1355555555555557,1,99,Merged
Update basics.md,2018-10-12T19:22:26Z,2018-10-13T00:17:37Z,2018-10-13T00:17:37Z,1,APPROVED,4.919722222222222,1,10,Merged
Fixed 2 typos,2018-10-31T09:53:18Z,2018-10-31T17:25:19Z,2018-10-31T17:25:19Z,1,APPROVED,7.533611111111111,2,316,Merged
Fixed grammar,2019-03-27T11:34:56Z,2019-07-14T23:03:19Z,2019-07-14T23:03:19Z,1,APPROVED,2627.4730555555557,1,0,Merged
algorithms: add link to Longest Common Subsequence problem,2019-06-05T13:36:20Z,2019-07-14T23:05:17Z,2019-07-14T23:05:17Z,1,APPROVED,945.4825,1,176,Merged
Add references to compensation data,2019-08-18T17:17:19Z,2019-08-18T21:00:43Z,2019-08-18T21:00:43Z,1,APPROVED,3.723333333333333,1,342,Merged
chore: update README.md,2019-08-20T14:06:48Z,2019-08-20T16:08:16Z,2019-08-20T16:08:16Z,1,APPROVED,2.0244444444444443,1,39,Merged
misc: fix broken link for /interview-formats,2019-08-24T07:27:04Z,2019-08-24T12:53:57Z,2019-08-24T12:53:57Z,1,APPROVED,5.448055555555555,1,51,Merged
questions: remove duplicate question from sorting-searching.md,2019-08-25T05:49:25Z,2019-08-25T13:37:54Z,2019-08-25T13:37:54Z,1,APPROVED,7.808055555555556,1,0,Merged
contents: modify graph search algorithm,2019-09-08T05:29:07Z,2019-09-13T18:46:55Z,2019-09-13T18:46:55Z,5,APPROVED,133.29666666666665,1,789,Merged
misc: fix typo,2019-09-11T04:01:29Z,2019-09-11T10:21:27Z,2019-09-11T10:21:27Z,1,APPROVED,6.332777777777777,1,76,Merged
fixed typo in Phone Interview section,2019-09-21T17:55:29Z,2019-09-21T20:09:22Z,2019-09-21T20:09:22Z,1,,2.231388888888889,1,173,Merged
misc: fixed typo in cheatsheet,2019-09-21T21:34:26Z,2019-09-21T22:53:00Z,2019-09-21T22:53:01Z,1,APPROVED,1.3094444444444444,1,42,Merged
contents: link to LeetCode's Longest Common Subsequence question,2019-12-26T23:14:47Z,2019-12-31T11:42:57Z,2019-12-31T11:42:57Z,1,APPROVED,108.46944444444445,1,0,Merged
