title,createdAt,mergedAt,closedAt,reviewsCount,reviewDecision,reviewTimeHours,filesChanged,description,result
Issue 1106: [PATCH] Fixed potential usage of uninitialized bool varia…,2015-05-13T14:49:36Z,,2017-05-03T06:41:22Z,1,,17295.862777777777,1,811,Closed
"Issue 1199: Remove the vestigal traces of custom memory allocators, part 1, updated",2015-05-13T15:49:21Z,,2017-09-25T14:36:38Z,1,CHANGES_REQUESTED,20782.788055555557,28,692,Closed
Avoid unnecessary memory allocations,2016-06-17T21:17:21Z,2017-04-30T15:39:32Z,2017-04-30T15:39:32Z,1,APPROVED,7602.369722222223,3,351,Merged
Fix a typo in tesseract(1) man page,2016-11-08T21:21:04Z,2016-11-22T08:10:28Z,2016-11-22T08:10:28Z,1,APPROVED,322.8233333333333,1,62,Merged
lstm: Fix issues reported by Coverity scan,2016-11-28T11:46:55Z,2016-12-01T19:34:04Z,2016-12-01T19:34:04Z,1,,79.78583333333333,4,43,Merged
cube: Simplify delete operations,2016-11-28T14:48:58Z,2016-11-29T21:55:41Z,2016-11-29T21:55:41Z,8,,31.111944444444443,5,256,Merged
"Add new C API for detecting orientation and script, remove old one (4.00)",2016-12-07T21:31:27Z,2016-12-09T12:34:18Z,2016-12-09T12:34:18Z,3,,39.0475,4,603,Merged
Switch to semantic versioning,2016-12-19T21:09:05Z,,2018-04-01T23:01:36Z,1,APPROVED,11233.875277777777,5,276,Closed
CMake - Set minimum Leptonica version to 1.74.0,2016-12-25T07:37:07Z,2016-12-25T11:05:42Z,2016-12-25T11:05:42Z,1,APPROVED,3.4763888888888888,1,0,Merged
configure.ac: Exit if compiler does not have c++11 support,2017-01-08T17:15:36Z,2017-01-08T18:20:56Z,2017-01-08T18:20:56Z,1,APPROVED,1.0888888888888888,1,15,Merged
"2 typo corrections ""specific""",2017-01-13T03:25:33Z,2017-01-13T07:19:13Z,2017-01-13T07:19:13Z,1,APPROVED,3.8944444444444444,2,0,Merged
Implement SIMD detection on macOS-gcc; complain if no SIMD detection,2017-01-14T01:44:30Z,,2017-01-23T20:27:05Z,7,CHANGES_REQUESTED,234.7097222222222,1,337,Closed
Remove code that is no longer needed,2017-01-16T00:13:19Z,2017-01-16T07:27:53Z,2017-01-16T07:27:53Z,1,APPROVED,7.2427777777777775,11,344,Merged
err -> err_exit,2017-01-20T15:56:49Z,2017-01-23T20:51:05Z,2017-01-23T20:51:05Z,1,APPROVED,76.90444444444445,1,18,Merged
Improve textonly_pdf parameter description,2017-01-21T09:40:08Z,2017-01-21T15:29:06Z,2017-01-21T15:29:07Z,1,,5.816111111111111,2,73,Merged
Fix typos,2017-01-29T12:13:09Z,2017-01-29T15:27:38Z,2017-01-29T15:27:38Z,1,APPROVED,3.241388888888889,2,51,Merged
Add experimental support for big endian hosts (read part only),2017-02-05T11:56:35Z,,2017-05-02T06:37:42Z,2,,2058.6852777777776,72,180,Closed
Remove swap parameter and related code,2017-02-06T18:10:20Z,,2017-02-07T01:22:28Z,1,,7.202222222222222,62,178,Closed
[`autogen.sh`:]  Abstract the absolute path of `libtoolize` or `glibtoolize` away into `$LIBTOOLIZE`.  ,2017-03-07T22:17:19Z,2017-03-10T07:11:42Z,2017-03-10T07:11:42Z,2,APPROVED,56.90638888888889,1,4059,Merged
Remove some unused local variables and functions,2017-03-09T15:24:55Z,2017-03-10T07:13:06Z,2017-03-10T07:13:06Z,1,,15.803055555555556,4,37,Merged
Update README.md heading markdown,2017-03-18T10:14:51Z,2017-03-20T18:53:55Z,2017-03-20T18:53:55Z,1,APPROVED,56.65111111111111,1,0,Merged
tidy tesseract(1) adding missing options,2017-03-21T20:04:30Z,2017-04-28T16:58:40Z,2017-04-28T16:58:40Z,3,APPROVED,908.9027777777778,5,162,Merged
Update ChangeLog,2017-03-23T08:48:57Z,2017-03-25T10:49:12Z,2017-03-25T10:49:12Z,2,,50.00416666666667,1,144,Merged
[4.00] Fix #786 OpenCL linkage fails on macOS,2017-04-10T21:46:52Z,2017-04-11T10:43:24Z,2017-04-11T10:43:24Z,1,APPROVED,12.942222222222222,1,66,Merged
