title,createdAt,mergedAt,closedAt,reviewsCount,reviewDecision,reviewTimeHours,filesChanged,description,result
Rename README on tweepcred to README.md,2023-03-31T19:01:41Z,,2023-03-31T22:41:39Z,1,,3.6661111111111113,1,40,Closed
feature: give a little boost to elon's friends and add more details in the README.md,2023-03-31T19:03:39Z,,2023-03-31T22:41:49Z,2,,3.636111111111111,1,2450,Closed
Sick Engineering Role!,2023-03-31T19:06:40Z,,2023-03-31T22:41:47Z,1,,3.585277777777778,1,851,Closed
feat: improve algorithm to provide better performance,2023-03-31T19:09:46Z,,2023-03-31T22:41:42Z,3,,3.5322222222222224,3000,65,Closed
Consistent usage of punctuation in README.md,2023-03-31T19:10:02Z,,2023-03-31T22:41:34Z,1,,3.5255555555555556,1,79,Closed
fix: Vastly improve quality of tweet predicates (#121),2023-03-31T19:13:50Z,,2023-03-31T22:42:13Z,2,,3.4730555555555553,2,0,Closed
Remove the code in the algorithm that boosts the tweets of Elon,2023-03-31T19:18:15Z,,2023-03-31T22:42:19Z,3,,3.401111111111111,1,33,Closed
an actual fix.,2023-03-31T19:19:49Z,,2023-03-31T22:41:56Z,1,,3.368611111111111,1,75,Closed
🛑 Remove Political bias from Twitter,2023-03-31T19:21:56Z,,2023-03-31T22:42:12Z,1,,3.3377777777777777,1,219,Closed
algorithm edits,2023-03-31T19:22:52Z,,2023-03-31T21:05:58Z,2,,1.7183333333333333,3000,0,Closed
Initialize Rust project 🦀,2023-03-31T19:27:07Z,,2023-03-31T22:41:56Z,2,,3.2469444444444444,2,58,Closed
Refactor query_keys function for improved efficiency,2023-03-31T19:28:35Z,,2023-03-31T22:41:40Z,1,,3.2180555555555554,1,0,Closed
feat: add more political bias,2023-03-31T19:28:49Z,,2023-03-31T22:42:28Z,4,,3.2275,3,112,Closed
"Added me as author, lol",2023-03-31T20:36:15Z,,2023-03-31T22:41:34Z,3,,2.088611111111111,1,39,Closed
Can u pwease merge my pwull wequest senpai?!! UwU,2023-03-31T20:40:34Z,,2023-03-31T22:41:38Z,3,,2.017777777777778,1,278,Closed
Fixed grammar issues in README,2023-03-31T20:41:13Z,,2023-03-31T22:41:32Z,1,,2.0052777777777777,1,0,Closed
Update readme.md,2023-03-31T20:43:13Z,,2023-03-31T22:41:32Z,1,,1.9719444444444445,1,34,Closed
remove useless code,2023-03-31T20:44:07Z,,2023-03-31T22:41:45Z,2,,1.9605555555555556,1440,33,Closed
replace elon with joe,2023-03-31T20:47:02Z,,2023-03-31T22:41:43Z,7,,1.9113888888888888,1,105,Closed
Create Jestem Janek,2023-03-31T20:49:03Z,,2023-03-31T22:41:33Z,1,,1.875,1,0,Closed
Add cta,2023-03-31T20:54:13Z,,2023-03-31T22:41:34Z,3,,1.7891666666666666,1,65,Closed
Remove Elon bias,2023-03-31T21:01:19Z,,2023-03-31T22:41:44Z,1,,1.6736111111111112,1,0,Closed
Missing hyphens in home-mixer README.md,2023-03-31T21:11:13Z,,2023-03-31T22:41:30Z,1,,1.5047222222222223,1,0,Closed
