title,createdAt,mergedAt,closedAt,reviewsCount,reviewDecision,reviewTimeHours,filesChanged,description,result
`sed` alternative for replacing strings in files,2015-07-09T09:12:53Z,,2019-07-04T16:33:33Z,1,,34951.34444444445,1,0,Closed
ru: Typo fix,2016-08-10T12:07:18Z,2017-06-03T17:09:44Z,2017-06-03T17:09:44Z,2,,7133.040555555555,1,35,Merged
Indonesian (ID) translation,2016-09-14T11:41:53Z,2016-10-31T02:38:50Z,2016-10-31T02:38:50Z,1,,1118.9491666666668,16,0,Merged
Finish the Romanian translation,2016-10-29T23:35:25Z,2016-10-31T01:49:34Z,2016-10-31T01:49:34Z,3,,26.235833333333332,16,13,Merged
ru: Update README-ru.md,2016-10-30T02:39:26Z,2016-11-01T18:27:40Z,2016-11-01T18:27:40Z,1,,63.80388888888889,1,0,Merged
Fixed the description of ctrl + u,2016-11-13T01:21:13Z,2017-01-17T20:31:21Z,2017-01-17T20:31:21Z,2,,1579.168888888889,3,141,Merged
ru: Polish README-ru.md,2016-11-13T12:54:34Z,2017-01-17T20:28:55Z,2017-01-17T20:28:55Z,3,,1567.5725,1,29,Merged
ru: translate sentence to Russian,2016-12-26T17:50:02Z,2017-01-17T20:28:15Z,2017-01-17T20:28:15Z,4,,530.6369444444445,1,0,Merged
Added nano editor on basics for starters,2017-01-26T16:55:41Z,2018-03-19T17:37:05Z,2018-03-19T17:37:05Z,3,,10008.69,1,117,Merged
uk: update Ukrainian translate,2017-02-20T15:52:21Z,2017-04-12T18:57:49Z,2017-04-12T18:57:49Z,2,,1227.091111111111,1,0,Merged
el: Update translation,2017-02-27T17:09:29Z,2017-04-04T01:10:55Z,2017-04-04T01:10:55Z,2,,848.0238888888889,1,25,Merged
ru: Minor fixes,2017-02-28T15:58:45Z,2017-05-02T04:22:03Z,2017-05-02T04:22:03Z,2,,1500.3883333333333,1,49,Merged
Fix typo,2017-02-28T17:35:12Z,2017-04-04T00:37:37Z,2017-04-04T00:37:37Z,2,,823.0402777777778,2,51,Merged
Edit README-ru.md,2017-06-12T09:42:39Z,2017-09-17T01:23:42Z,2017-09-17T01:23:42Z,4,,2319.6841666666664,1,26,Merged
zh: Update translation,2017-10-23T05:42:12Z,2017-11-22T00:41:42Z,2017-11-22T00:41:42Z,2,,714.9916666666667,1,67,Merged
Fix a typo and spacing words in Korean translation,2017-11-22T03:48:50Z,2017-12-31T06:08:05Z,2017-12-31T06:08:05Z,1,,938.3208333333333,1,0,Merged
el: Update translation,2018-04-03T00:44:05Z,2018-04-07T20:07:44Z,2018-04-07T20:07:44Z,2,,115.39416666666666,1,25,Merged
sl: Update Slovenian translation,2018-06-13T10:26:18Z,2018-06-15T05:57:42Z,2018-06-15T05:57:42Z,1,APPROVED,43.52333333333333,1,45,Merged
update README-ja.md,2018-07-20T23:23:07Z,2018-08-19T00:35:51Z,2018-08-19T00:35:51Z,1,,697.2122222222222,1,59,Merged
fr: Synchronize the translation,2018-08-06T15:59:46Z,2018-08-19T00:34:22Z,2018-08-19T00:34:22Z,1,APPROVED,296.57666666666665,1,0,Merged
zh-Hant: Update iconv and uconv example,2018-10-19T16:35:02Z,2019-03-17T03:55:48Z,2019-03-17T03:55:48Z,1,,3563.346111111111,1,127,Merged
Add Cygwin specific command tips `explorer`,2019-05-26T15:58:17Z,,2019-09-05T04:13:33Z,1,,2436.2544444444443,2,91,Closed
Fix typo,2019-07-19T02:25:52Z,,2022-05-15T13:10:19Z,1,,24754.740833333333,1,39,Closed
fr: Synchronize the translation,2019-07-31T14:37:28Z,2022-12-29T22:41:26Z,2022-12-29T22:41:26Z,1,APPROVED,29936.06611111111,1,0,Merged
Fixed a typo in README.md,2019-11-01T18:44:29Z,,2020-08-17T00:28:43Z,1,,6941.737222222222,1,0,Closed
fix: markdown bold syntax,2019-11-12T14:31:31Z,,2020-05-09T07:40:24Z,1,,4289.148055555555,1,67,Closed
misspelled a word,2020-02-12T19:52:05Z,,2020-08-17T00:28:13Z,1,,4468.602222222222,1,0,Closed
"complete, most up-to-date translation into Polish language",2020-03-25T16:24:50Z,2020-09-07T19:20:29Z,2020-09-07T19:20:30Z,3,APPROVED,3986.9275,18,324,Merged
Minor spelling fix in readme,2020-04-10T05:00:03Z,,2020-08-17T00:27:52Z,1,,3091.4636111111113,1,27,Closed
Fix typo README-id.md,2020-12-16T22:26:09Z,,2022-09-11T02:31:14Z,1,,15196.084722222222,1,47,Closed
Create README-tr.md,2021-09-20T14:20:01Z,,2022-09-12T07:42:00Z,1,,8561.36638888889,19,0,Closed
test file for new branch,2021-10-15T19:53:19Z,,2021-12-06T07:37:46Z,2,,1235.7408333333333,1,0,Closed
Fix README-zh.md typo,2022-06-18T12:25:42Z,2022-07-16T01:06:16Z,2022-07-16T01:06:16Z,3,APPROVED,660.6761111111111,1,0,Merged
fr: Synchronize the translation,2022-12-30T17:41:09Z,2023-03-07T19:34:51Z,2023-03-07T19:34:51Z,2,APPROVED,1609.895,1,0,Merged
Fix typo in README-zh.md,2023-02-15T09:00:06Z,2023-07-12T21:40:23Z,2023-07-12T21:40:23Z,1,,3540.671388888889,1,0,Merged
Typo: fix Github to GitHub,2024-03-17T08:44:01Z,,2024-09-01T07:20:06Z,3,,4030.601388888889,8,63,Closed
