title,createdAt,mergedAt,closedAt,reviewsCount,reviewDecision,reviewTimeHours,filesChanged,description,result
Typo fix in README.md,2018-07-13T23:43:59Z,,2018-08-04T10:37:18Z,1,REVIEW_REQUIRED,514.8886111111111,1,33,Closed
Update README.md,2018-11-06T17:56:43Z,2018-11-06T21:49:08Z,2018-11-06T21:49:08Z,3,APPROVED,3.873611111111111,1,73,Merged
Add new tools,2018-11-07T16:19:39Z,2018-11-08T07:23:14Z,2018-11-08T07:23:14Z,7,REVIEW_REQUIRED,15.059722222222222,1,50,Merged
Add dkimvalidator.com under mail section (and other important tools).,2018-12-22T08:14:29Z,2018-12-23T10:14:21Z,2018-12-23T10:14:21Z,1,REVIEW_REQUIRED,25.997777777777777,1,0,Merged
Added PbScan in network section,2018-12-26T22:58:06Z,2018-12-27T08:39:14Z,2018-12-27T08:39:14Z,1,REVIEW_REQUIRED,9.685555555555556,1,0,Merged
Adding Etherate to 'Networking',2018-12-28T09:40:28Z,2019-01-04T10:57:51Z,2019-01-04T10:57:51Z,1,REVIEW_REQUIRED,169.28972222222222,1,0,Merged
Add CLI creators to CLI section,2019-01-14T17:16:48Z,2019-02-13T08:49:37Z,2019-02-13T08:49:37Z,1,REVIEW_REQUIRED,711.5469444444444,1,0,Merged
Update README.md,2019-02-22T10:25:54Z,,2019-02-24T08:27:14Z,1,REVIEW_REQUIRED,46.022222222222226,1,48,Closed
Fix alphabetical order,2019-04-20T10:12:07Z,,2019-04-22T08:42:21Z,1,REVIEW_REQUIRED,46.50388888888889,1,65,Closed
Fixed Grammar for various tool,2019-05-17T10:20:19Z,2019-05-17T12:14:55Z,2019-05-17T12:14:55Z,1,REVIEW_REQUIRED,1.91,1,93,Merged
Add pentoo to operating systems,2019-06-17T03:35:38Z,2019-07-24T19:55:33Z,2019-07-24T19:55:33Z,1,REVIEW_REQUIRED,904.3319444444444,1,73,Merged
Store script files as gists,2019-11-11T14:01:44Z,,2020-11-14T08:26:06Z,1,REVIEW_REQUIRED,8850.406111111111,1,35,Closed
Merge pull request #127 from pstavirs/osti,2019-12-07T06:31:42Z,2020-02-03T10:22:36Z,2020-02-03T10:22:36Z,1,REVIEW_REQUIRED,1395.8483333333334,1,264,Merged
Merge pull request #135 from Cookizza/patch-1,2020-01-23T09:46:36Z,2020-01-27T17:17:33Z,2020-01-27T17:17:33Z,1,REVIEW_REQUIRED,103.51583333333333,1,304,Merged
Add item into Text Editors,2020-01-24T16:25:29Z,,2020-01-27T17:32:34Z,2,REVIEW_REQUIRED,73.11805555555556,1,36,Closed
added open source packet sender to the book of knowledge.,2020-01-24T18:57:24Z,2020-01-27T17:26:57Z,2020-01-27T17:26:57Z,2,APPROVED,70.4925,1,0,Merged
Merge pull request #146 from pylipp/fix/remove-duplicate,2020-01-25T13:09:17Z,2020-01-25T15:06:10Z,2020-01-25T15:06:10Z,1,REVIEW_REQUIRED,1.9480555555555557,1,62,Merged
Update README.md,2020-02-20T05:54:16Z,,2020-04-14T20:17:30Z,1,REVIEW_REQUIRED,1310.3872222222221,1,0,Closed
Add SpaceVim,2020-04-16T09:01:34Z,2020-07-19T06:04:28Z,2020-07-19T06:04:28Z,1,REVIEW_REQUIRED,2253.048333333333,1,70,Merged
Added machine-learning-algorithms,2020-07-25T16:48:34Z,2020-09-27T06:12:01Z,2020-09-27T06:12:01Z,1,REVIEW_REQUIRED,1525.3908333333334,1,99,Merged
Update README.md,2020-08-07T03:58:47Z,2020-10-06T21:17:26Z,2020-10-06T21:17:26Z,2,REVIEW_REQUIRED,1457.3108333333332,1,44,Merged
Add more private search engines to the list,2020-09-25T17:52:56Z,2020-09-27T06:07:40Z,2020-09-27T06:07:40Z,1,REVIEW_REQUIRED,36.245555555555555,1,66,Merged
Add 'DIRB',2021-03-26T18:32:22Z,,2021-05-13T16:33:33Z,6,REVIEW_REQUIRED,1150.0197222222223,1,54,Closed
add Alacritty,2021-05-08T23:02:02Z,2021-05-13T16:28:57Z,2021-05-13T16:28:57Z,2,REVIEW_REQUIRED,113.4486111111111,1,61,Merged
Add bunkerized-nginx,2021-06-07T12:43:13Z,2022-02-23T18:41:34Z,2022-02-23T18:41:34Z,1,REVIEW_REQUIRED,6269.9725,1,0,Merged
Create How to Use,2021-06-26T09:12:05Z,,2021-10-20T18:47:29Z,1,REVIEW_REQUIRED,2793.59,1,47,Closed
Add PEASS,2021-06-29T12:40:53Z,2022-02-23T18:46:33Z,2022-02-23T18:46:33Z,2,REVIEW_REQUIRED,5742.094444444445,1,262,Merged
Add mssql-cli,2021-07-05T05:07:22Z,2021-07-13T10:40:09Z,2021-07-13T10:40:09Z,1,REVIEW_REQUIRED,197.54638888888888,1,0,Merged
Fixes typo,2021-07-05T14:36:16Z,2021-07-13T10:39:30Z,2021-07-13T10:39:30Z,1,REVIEW_REQUIRED,188.05388888888888,1,0,Merged
Delete fakeface - fixes #216,2021-07-13T02:28:31Z,2021-07-13T10:33:26Z,2021-07-13T10:33:26Z,2,REVIEW_REQUIRED,8.081944444444444,1,467,Merged
subsequent automerge,2021-09-11T02:07:06Z,,2022-02-23T18:51:56Z,2,REVIEW_REQUIRED,3976.7472222222223,4,0,Closed
Add Haskell Dockerfile Linter,2021-10-02T03:07:18Z,2022-02-23T18:55:27Z,2022-02-23T18:55:27Z,1,REVIEW_REQUIRED,3471.8025,1,98,Merged
adds quad9 (9.9.9.9) to list of public DNS resolvers,2021-10-07T08:32:30Z,,2022-02-23T18:47:35Z,3,REVIEW_REQUIRED,3346.251388888889,1,0,Closed
add a new tool in one liners,2021-10-12T09:38:58Z,,2022-02-23T18:58:33Z,1,REVIEW_REQUIRED,3225.3263888888887,1,170,Closed
Added vaultwarden,2021-10-20T10:31:53Z,2022-02-23T19:00:05Z,2022-02-23T19:00:05Z,1,REVIEW_REQUIRED,3032.47,1,70,Merged
Added TLScan,2021-10-20T10:37:08Z,2022-02-23T19:01:08Z,2022-02-23T19:01:08Z,3,REVIEW_REQUIRED,3032.4,1,70,Merged
Multiple updates,2021-10-20T11:29:50Z,,2022-02-23T19:01:41Z,1,REVIEW_REQUIRED,3031.5308333333332,1,0,Closed
Add zoxide under Shell Plugins,2021-11-30T15:00:55Z,,2022-02-23T19:05:16Z,1,REVIEW_REQUIRED,2044.0725,1,426,Closed
Update README.md,2021-12-11T02:19:31Z,2022-02-23T19:05:45Z,2022-02-23T19:05:45Z,5,REVIEW_REQUIRED,1792.7705555555556,1,208,Merged
update link,2021-12-27T18:38:45Z,,2022-08-19T11:38:01Z,11,REVIEW_REQUIRED,5632.987777777777,1,279,Closed
add 'CryptoLyzer',2022-02-20T09:31:06Z,,2022-02-23T18:39:01Z,1,REVIEW_REQUIRED,81.13194444444444,1,0,Closed
Create SECURITY.md,2022-02-26T16:33:23Z,,2022-03-01T14:32:38Z,1,REVIEW_REQUIRED,69.9875,1,0,Closed
added shell cleaning trick,2022-02-28T17:27:53Z,2022-02-28T20:34:27Z,2022-02-28T20:34:27Z,11,REVIEW_REQUIRED,3.1094444444444442,1,78,Merged
Add Kakoune text editor to editors section,2022-03-17T12:58:55Z,,2024-09-16T09:06:02Z,5,REVIEW_REQUIRED,21932.118611111113,1,0,Closed
Added 1Password to Password Managers,2022-12-19T10:27:27Z,,2023-01-03T15:10:20Z,1,REVIEW_REQUIRED,364.71472222222224,1,231,Closed
Add GNU nano to text editors,2023-01-02T12:09:42Z,,2023-05-18T07:11:20Z,3,REVIEW_REQUIRED,3259.027222222222,1,0,Closed
Update README.md,2023-07-05T14:31:14Z,,2023-07-26T05:54:34Z,9,REVIEW_REQUIRED,495.3888888888889,1,113,Closed
feat: add cognito-scanner pentest tool,2023-08-08T09:48:48Z,,2023-12-07T22:22:08Z,9,REVIEW_REQUIRED,2916.5555555555557,1,261,Closed
Create SECURITY.md,2023-09-15T19:24:34Z,,2023-12-07T22:22:51Z,7,REVIEW_REQUIRED,1994.971388888889,1,0,Closed
Create SECURITY.md,2023-12-18T14:29:20Z,,2023-12-30T07:52:01Z,1,REVIEW_REQUIRED,281.37805555555553,1,0,Closed
weleakinfo not exists anymore,2024-01-31T10:34:55Z,,2024-05-07T10:15:06Z,1,REVIEW_REQUIRED,2327.6697222222224,1,0,Closed
Update README.md,2024-04-10T10:25:44Z,,2024-05-09T18:55:43Z,7,REVIEW_REQUIRED,704.4997222222222,1,114,Closed
Create SECURITY.md,2024-06-15T14:48:36Z,,2024-06-20T06:34:17Z,4,REVIEW_REQUIRED,111.76138888888889,1,2,Closed
Remove weleakinfo as it is no longer available.,2024-08-01T08:13:32Z,,2024-08-01T12:32:29Z,1,REVIEW_REQUIRED,4.315833333333333,1,0,Closed
fix grammar errors,2024-08-05T06:53:11Z,,2024-08-13T07:35:06Z,3,REVIEW_REQUIRED,192.69861111111112,1,119,Closed
Create Infinity.json,2024-08-10T06:52:48Z,,2024-08-29T00:35:59Z,3,REVIEW_REQUIRED,449.71972222222223,1,937,Closed
