title,createdAt,mergedAt,closedAt,reviewsCount,reviewDecision,reviewTimeHours,filesChanged,description,result
Suggest `ag -Q` when relevant,2016-10-03T04:35:00Z,2016-10-07T08:35:34Z,2016-10-07T08:35:34Z,2,APPROVED,100.00944444444444,3,62,Merged
Suggest `foo --help` when `man foo` shows no pages,2016-10-03T07:59:29Z,2016-10-07T08:37:33Z,2016-10-07T08:37:33Z,1,APPROVED,96.63444444444444,2,173,Merged
"Run flake8 in Travis, fix some errors",2016-10-05T16:06:58Z,2017-03-13T12:39:24Z,2017-03-13T12:39:24Z,8,APPROVED,3812.5405555555553,60,0,Merged
README->Installation: Clarify that the alias is really needed,2017-03-14T23:02:43Z,,2021-07-29T20:13:18Z,1,CHANGES_REQUESTED,38349.17638888889,1,0,Closed
Update stderr wording of git_not_command,2017-06-05T21:31:02Z,2017-06-19T21:12:47Z,2017-06-19T21:12:47Z,1,,335.6958333333333,3,149,Merged
quick fix for #655,2017-10-05T16:51:01Z,2017-10-10T17:24:39Z,2017-10-10T17:24:39Z,2,CHANGES_REQUESTED,120.56055555555555,3,53,Merged
Basic fix for #652,2017-10-05T17:15:05Z,2017-10-15T15:30:29Z,2017-10-15T15:30:29Z,4,APPROVED,238.25666666666666,3,28,Merged
Fix minor issues with git_remote_delete,2017-10-08T23:36:10Z,2017-10-09T16:47:14Z,2017-10-09T16:47:14Z,1,APPROVED,17.184444444444445,2,89,Merged
git_flag_after_filename: Handle new error message,2017-10-31T16:58:18Z,2017-11-01T13:42:53Z,2017-11-01T13:42:53Z,1,APPROVED,20.743055555555557,2,151,Merged
Add heroku_multiple_apps rule,2017-11-07T01:13:54Z,2017-11-09T23:42:23Z,2017-11-09T23:42:24Z,1,,70.47472222222223,3,49,Merged
Don't add duplicate remote/branch name,2017-12-31T16:06:22Z,2018-01-02T00:45:46Z,2018-01-02T00:45:46Z,2,,32.656666666666666,2,66,Merged
Update license year,2017-12-31T23:58:42Z,2018-01-01T17:53:35Z,2018-01-01T17:53:35Z,1,,17.914722222222224,1,97,Merged
Fix fish shell aliasing,2018-01-01T14:58:17Z,2018-01-03T04:14:02Z,2018-01-03T04:14:02Z,1,APPROVED,37.2625,2,21,Merged
Fix IndexError when using bitbucket,2018-01-02T22:35:18Z,2018-01-06T22:44:03Z,2018-01-06T22:44:04Z,5,APPROVED,96.14583333333333,2,21,Merged
