title,createdAt,mergedAt,closedAt,reviewsCount,reviewDecision,reviewTimeHours,filesChanged,description,result
Cosine-based specular env map LOD selection,2015-10-23T05:14:09Z,2015-10-30T03:00:19Z,2015-10-30T03:00:19Z,1,,165.76944444444445,5,137,Merged
New merge method in THREE.BufferGeometry.,2016-02-18T15:35:50Z,,2018-02-27T04:01:39Z,1,,17748.430277777778,4,105,Closed
Cleaned NRRD Loader,2016-03-14T21:06:48Z,2016-03-15T10:54:55Z,2016-03-15T10:54:55Z,2,,13.801944444444445,9,144,Merged
New raycaster property intersectHidden,2016-05-20T15:09:13Z,,2016-05-20T17:53:15Z,1,,2.733888888888889,1,41,Closed
Added raycasting support to THREE.SkinnedMesh.,2016-05-20T16:52:46Z,,2020-04-21T08:52:39Z,2,,34359.99805555555,3,468,Closed
fix ImageLoader manager issue,2016-06-20T07:15:04Z,2016-06-24T04:44:50Z,2016-06-24T04:44:50Z,3,,93.4961111111111,1,56,Merged
THREE.Box3 getCorners method added,2016-07-06T11:32:41Z,,2019-07-19T16:11:42Z,1,,26596.65027777778,4,513,Closed
Modules,2016-07-09T05:03:05Z,2016-07-22T01:38:18Z,2016-07-22T01:38:18Z,1,,308.58694444444444,230,3974,Merged
Intersection option for WebGLRenderer clipping method,2016-08-08T06:49:49Z,2016-10-14T23:32:30Z,2016-10-14T23:32:30Z,2,,1624.711388888889,8,753,Merged
Discard attribute typed arrays for buffered geometries that are not modified after initial rendering,2016-08-15T10:52:38Z,2016-11-05T22:07:02Z,2016-11-05T22:07:02Z,9,,1979.24,3,224,Merged
getElapsedTime() in TREE.Clock returns whole running time and not elapsed time from previous start.,2016-09-14T21:19:27Z,2016-09-23T21:37:25Z,2016-09-23T21:37:25Z,2,,216.29944444444445,1,495,Merged
Add default material technique support to glTFLoader.js,2016-09-21T08:00:53Z,2016-09-22T18:35:38Z,2016-09-22T18:35:38Z,3,CHANGES_REQUESTED,34.579166666666666,1,606,Merged
Extend glTF Loader API,2016-09-22T00:39:46Z,,2016-10-07T04:44:36Z,4,,364.0805555555556,5,658,Closed
object callbacks,2016-09-22T08:49:29Z,2016-09-23T21:45:05Z,2016-09-23T21:45:05Z,2,,36.92666666666667,2,2522,Merged
Added CubeTexture().fromEquirectangular(),2016-09-22T22:15:40Z,,2019-06-24T17:57:06Z,11,,24115.690555555557,4,20,Closed
New PolyhedronBufferGeometry,2016-09-23T12:11:30Z,2016-09-23T21:32:08Z,2016-09-23T21:32:08Z,2,,9.34388888888889,23,302,Merged
VREffect: Check VRLayer configuration on every render,2016-09-26T17:45:13Z,2016-09-27T14:16:03Z,2016-09-27T14:16:03Z,3,,20.51388888888889,1,846,Merged
GLTFLoader v2,2016-09-27T12:14:42Z,2016-10-07T03:51:01Z,2016-10-07T03:51:01Z,11,,231.6052777777778,12,885,Merged
Issue #9826. Response type as a parameter in TextureLoader and ImageLoader.,2016-10-09T13:04:59Z,,2016-12-22T02:00:03Z,9,,1764.9177777777777,5,224,Closed
exitPresent when unloading WebVR page #9837,2016-10-10T20:42:20Z,,2016-10-11T21:19:24Z,2,,24.61777777777778,1,18,Closed
New TubeBufferGeometry,2016-10-11T14:43:02Z,2016-10-11T21:05:18Z,2016-10-11T21:05:18Z,8,,6.371111111111111,8,1167,Merged
Fixed INVALID_OPERATION error with WebGL when using linewidth on IE11,2016-10-14T09:20:07Z,2016-12-15T05:18:50Z,2016-12-15T05:18:50Z,7,,1483.9786111111111,1,813,Merged
Export OutlineDrawingPass from MMDHelper to make it reusable,2016-10-16T19:36:24Z,2016-10-19T16:39:39Z,2016-10-19T16:39:39Z,9,,69.05416666666666,5,989,Merged
Fix no json parsing check,2016-10-20T22:01:02Z,,2016-10-28T20:59:00Z,2,,190.9661111111111,1,219,Closed
Export Gradient Map from MMDLoader to let it reusable,2016-10-21T07:10:05Z,2016-11-20T06:26:18Z,2016-11-20T06:26:18Z,8,,719.2702777777778,24,1405,Merged
Chain-able OutlineEffect,2016-10-23T00:03:04Z,2016-11-20T07:50:10Z,2016-11-20T07:50:10Z,3,,679.785,5,1001,Merged
Let MMDLoader generate BufferGeometry,2016-10-23T17:58:27Z,2016-10-24T06:11:41Z,2016-10-24T06:11:41Z,4,,12.220555555555556,1,77,Merged
Optimize SkyShader.js with pre-calculated consts,2016-10-24T17:45:10Z,2017-01-11T00:13:28Z,2017-01-11T00:13:28Z,3,,1878.4716666666666,1,24,Merged
Quick fix nexus5 point/spot light issues,2016-10-26T19:32:27Z,2016-10-27T14:46:49Z,2016-10-27T14:46:49Z,2,,19.239444444444445,2,1103,Merged
lint code in VREffect (Mr.doob™ approved),2016-10-27T21:49:33Z,2016-10-28T00:37:15Z,2016-10-28T00:37:15Z,3,,2.795,1,0,Merged
New ShapeBufferGeometry,2016-10-29T14:40:03Z,2016-10-31T15:56:43Z,2016-10-31T15:56:43Z,2,,49.27777777777778,8,1346,Merged
[Docs] Add badging to README.md,2016-11-02T13:18:28Z,2016-11-08T17:36:32Z,2016-11-08T17:36:32Z,4,,148.3011111111111,1,344,Merged
Mesh.raycast: Avoid raycasting boundingSphere/Box if ray.origin is inside,2016-11-04T14:17:50Z,,2018-08-25T19:50:28Z,1,,15821.54388888889,1,346,Closed
MMD example enhancement,2016-11-05T03:37:44Z,2016-11-07T19:47:47Z,2016-11-07T19:47:47Z,2,,64.1675,2,247,Merged
Created docs for MeshPhysicalMaterial and ShadowMaterial,2016-11-07T01:03:09Z,2016-11-07T16:32:48Z,2016-11-07T16:32:48Z,3,,15.494166666666667,3,0,Merged
STLLoader: Buffer Geometry for ASCII files,2016-11-07T21:47:31Z,2016-11-09T23:21:21Z,2016-11-09T23:21:21Z,7,APPROVED,49.56388888888889,1,218,Merged
Enable using Audio.setBuffer() after having played once,2016-11-08T20:50:33Z,2016-11-21T17:24:09Z,2016-11-21T17:24:09Z,2,,308.56,1,1256,Merged
"Warning fix, and normalization",2016-11-09T09:58:00Z,,2016-11-13T22:47:26Z,11,,108.82388888888889,24,530,Closed
"Detect deltaMode - fixes IE11/FF49/Chrome54 on Win7, see #9526",2016-11-09T17:38:47Z,2016-11-16T17:14:03Z,2016-11-16T17:14:03Z,1,,167.58777777777777,1,10,Merged
remove obsolete elements and comments,2016-11-10T15:54:48Z,2016-11-16T18:35:15Z,2016-11-16T18:35:15Z,1,,146.67416666666668,1,95,Merged
Automatic Geometry instancing,2016-11-10T19:10:25Z,,2017-02-09T13:55:27Z,6,,2178.7505555555554,30,2431,Closed
MMDLoader Image Cross-origin issue solution,2016-11-11T04:08:26Z,,2016-11-19T09:19:16Z,8,,197.18055555555554,1,384,Closed
"glTF, loading interleaved buffers",2016-11-11T18:42:53Z,2016-11-14T17:49:23Z,2016-11-14T17:49:23Z,3,,71.10833333333333,2,172,Merged
Sources warning fix,2016-11-13T23:53:50Z,2016-12-14T06:25:49Z,2016-12-14T06:25:49Z,5,,726.5330555555555,24,113,Merged
Example warning fix,2016-11-16T11:22:00Z,2016-11-16T17:12:15Z,2016-11-16T17:12:15Z,2,,5.8375,140,280,Merged
Changed 'step' to 'divs',2016-11-16T23:00:49Z,2016-11-17T03:55:32Z,2016-11-17T03:55:32Z,1,,4.911944444444444,1,336,Merged
optimal implementation of caching logic ,2016-11-17T08:06:01Z,,2018-02-11T21:52:20Z,4,,10837.771944444445,2,35,Closed
Add missing Toon Material and shader files,2016-11-20T06:46:09Z,2016-11-20T07:51:23Z,2016-11-20T07:51:23Z,2,,1.0872222222222223,4,9,Merged
Adding PolarGridHelper and associated files,2016-11-20T16:29:00Z,2016-11-23T00:22:53Z,2016-11-23T00:22:53Z,14,CHANGES_REQUESTED,55.89805555555556,7,252,Merged
make Box3.setFromObject() handle sprites,2016-11-22T11:19:57Z,,2017-01-23T11:33:33Z,2,,1488.2266666666667,1,77,Closed
RectAreaLightHelper: Refactoring,2016-11-23T19:42:10Z,2016-11-23T22:38:13Z,2016-11-23T22:38:13Z,2,,2.9341666666666666,2,152,Merged
Pull Request to add examples/webgl_loader_viewer.html - Model viewer,2016-11-24T07:32:23Z,,2019-06-23T15:07:28Z,35,,22591.584722222222,4,1551,Closed
Rename ManualMSAARenderPass to SSAARenderPass,2016-11-26T01:24:38Z,2016-11-26T18:24:05Z,2016-11-26T18:24:05Z,2,,16.990833333333335,6,286,Merged
"Expose when, offset and duration parameters in Audio.play()",2016-11-30T18:24:37Z,,2017-11-28T18:46:41Z,8,,8712.367777777778,1,696,Closed
Binary loader for Assimp files,2016-11-30T18:46:08Z,2016-11-30T20:47:25Z,2016-11-30T20:47:25Z,1,,2.0213888888888887,5,1774,Merged
RFC - not for merging - alternative uniform handling,2016-12-02T09:55:08Z,,2017-05-19T08:11:15Z,1,,4030.268611111111,25,1676,Closed
Transformcontrols ms edge,2016-12-05T16:19:20Z,,2018-02-08T10:20:38Z,7,,10314.021666666667,1,99,Closed
New VRMLLoader based on the VrmlParser project,2016-12-05T21:20:05Z,2016-12-05T23:00:46Z,2016-12-05T23:00:46Z,2,,1.6780555555555556,4,273,Merged
Box3: Refactored .setFromObject(),2016-12-07T09:17:48Z,2016-12-14T10:03:48Z,2016-12-14T10:03:48Z,3,,168.76666666666668,4,56,Merged
Render target names,2016-12-07T14:42:11Z,2017-01-22T23:20:12Z,2017-01-22T23:20:12Z,4,,1112.6336111111111,15,634,Merged
Add support for glTF emission and specular textures.,2016-12-09T00:10:27Z,2016-12-09T01:12:15Z,2016-12-09T01:12:15Z,6,,1.03,1,364,Merged
add support for front/back/double to MeshNormalMaterial,2016-12-11T01:37:59Z,2016-12-11T03:55:38Z,2016-12-11T03:55:38Z,3,,2.2941666666666665,3,199,Merged
EdgesGeometry: Update docs and minor clean up,2016-12-11T21:54:21Z,2016-12-14T06:55:53Z,2016-12-14T06:55:53Z,2,,57.025555555555556,2,152,Merged
Matrix3/Matrix4: Refactored .applyToBuffer(),2016-12-14T18:20:38Z,2016-12-15T04:16:47Z,2016-12-15T04:16:47Z,5,,9.935833333333333,5,130,Merged
Fix Loading an SVG with TextureLoader,2016-12-15T09:55:40Z,2016-12-17T22:58:35Z,2016-12-17T22:58:35Z,2,,61.048611111111114,1,1187,Merged
GLTF extras as Object3D::userData,2016-12-15T10:42:16Z,2016-12-17T04:16:40Z,2016-12-17T04:16:40Z,1,,41.57333333333333,1,795,Merged
"VRMLLoader based on vrmlParser, easier to use.",2016-12-15T15:37:10Z,,2017-09-06T21:06:21Z,12,,6365.4863888888885,4,343,Closed
Matrix4: Changed .makeFrustum() to .makePerspective(),2016-12-15T22:27:27Z,2016-12-17T13:11:26Z,2016-12-17T13:11:26Z,2,,38.73305555555555,8,10,Merged
Modify orbit controls example to de-emphasize animation loop,2016-12-16T00:01:53Z,2016-12-16T01:47:23Z,2016-12-16T01:47:23Z,5,,1.7583333333333333,1,550,Merged
Mesh: .raycast() now works with InterleavedBufferAttribute,2016-12-17T13:49:28Z,2016-12-20T07:38:35Z,2016-12-20T07:38:35Z,3,,65.81861111111111,1,128,Merged
Added DefaultUp and DefaultMatrixAutoUpdate to Object3D docs,2016-12-18T04:01:04Z,2016-12-20T14:12:48Z,2016-12-20T14:12:48Z,1,,58.19555555555556,3,108,Merged
Updated near and far descriptions for Orthographic and Perspective Camera,2016-12-18T11:28:17Z,2016-12-19T01:55:35Z,2016-12-19T01:55:35Z,8,,14.455,2,63,Merged
Deprecated SplineCurve3,2016-12-18T19:35:31Z,2016-12-19T01:55:01Z,2016-12-19T01:55:01Z,2,,6.325,11,106,Merged
Added Line and LineSegments support for the Three.js glTF loader. Inc…,2016-12-19T14:29:48Z,2016-12-20T07:39:59Z,2016-12-20T07:39:59Z,1,,17.169722222222223,10,288,Merged
Combine Vector3.applyProjection into applyMatrix4 and deprecate applyProjection,2016-12-19T18:44:06Z,2016-12-21T02:12:10Z,2016-12-21T02:12:10Z,3,,31.467777777777776,11,11,Merged
