title,createdAt,mergedAt,closedAt,reviewsCount,reviewDecision,reviewTimeHours,filesChanged,description,result
Fix ineffective no_decay bug when using BERTAdam,2018-11-18T08:21:37Z,2018-11-20T09:11:47Z,2018-11-20T09:11:47Z,1,,48.83611111111111,1,126,Merged
run_classifier.py improvements,2018-12-05T17:22:31Z,2018-12-11T10:12:05Z,2018-12-11T10:12:05Z,3,,136.82611111111112,1,417,Merged
BertForMultipleChoice and Swag dataset example.,2018-12-06T18:34:05Z,2018-12-13T11:05:12Z,2018-12-13T11:05:12Z,1,,160.5186111111111,4,969,Merged
Add example for fine tuning BERT language model,2018-12-18T09:48:12Z,2019-01-07T11:03:51Z,2019-01-07T11:03:51Z,7,,481.2608333333333,2,909,Merged
Correct the  wrong note,2018-12-22T12:31:58Z,2019-01-07T11:23:06Z,2019-01-07T11:23:06Z,1,,382.8522222222222,1,31,Merged
Fix error when `bert_model` param is path or url.,2019-01-05T02:43:06Z,2019-01-07T11:40:56Z,2019-01-07T11:40:56Z,3,,56.96388888888889,1,118,Merged
Update modeling.py to fix typo,2019-01-06T22:13:44Z,,2019-01-07T11:41:57Z,1,,13.470277777777778,1,79,Closed
LayerNorm initialization,2019-01-07T07:51:47Z,2019-01-07T11:44:47Z,2019-01-07T11:44:47Z,1,,3.8833333333333333,1,391,Merged
Adding OpenAI GPT pre-trained model,2019-01-11T08:03:57Z,,2019-02-11T12:35:49Z,3,,748.5311111111112,11,35,Closed
Documentation Fixes,2019-01-13T15:56:58Z,,2019-01-17T08:41:09Z,1,,88.73638888888888,3,140,Closed
Fix learning rate problems in run_classifier.py,2019-01-22T22:43:30Z,2019-02-05T14:40:44Z,2019-02-05T14:40:44Z,5,CHANGES_REQUESTED,327.9538888888889,6,349,Merged
Minor update in README,2019-01-30T18:20:29Z,2019-02-01T11:14:05Z,2019-02-01T11:14:05Z,1,,40.89333333333333,1,41,Merged
Fix argparse type error,2019-01-30T20:11:10Z,2019-02-01T11:14:56Z,2019-02-01T11:14:56Z,1,,39.062777777777775,2,128,Merged
Avoid confusion of inplace LM masking,2019-01-31T10:45:58Z,2019-02-01T11:17:50Z,2019-02-01T11:17:50Z,1,,24.531111111111112,1,198,Merged
Typo/formatting fixes in README,2019-02-18T11:30:27Z,,2019-02-18T20:25:46Z,1,,8.921944444444444,1,0,Closed
add BertTokenizer flag to skip basic tokenization,2019-02-27T04:20:13Z,2019-03-06T08:37:12Z,2019-03-06T08:37:12Z,5,,172.28305555555556,2,974,Merged
Allow tokenization of sequences > 512 for caching,2019-03-03T00:30:43Z,2019-03-06T08:45:50Z,2019-03-06T08:45:50Z,2,,80.25194444444445,4,159,Merged
Shared tokenizer interface,2019-03-17T05:51:57Z,,2019-06-23T22:14:11Z,2,,2368.3705555555557,5,703,Closed
Fix Language Modeling Loss,2019-03-24T21:20:33Z,2019-04-03T09:35:31Z,2019-04-03T09:35:31Z,3,,228.24944444444444,2,3950,Merged
Learning rate schedules improvement + extension,2019-04-03T15:36:29Z,2019-04-23T08:27:39Z,2019-04-23T08:27:39Z,2,,472.85277777777776,3,345,Merged
Model type in convert_tf_checkpoint_to_pytorch and 'squad' mapping,2019-04-23T11:22:15Z,,2019-10-07T18:54:27Z,3,CHANGES_REQUESTED,4015.536666666667,3,578,Closed
"Fixing issue ""Training beyond specified 't_total' steps with schedule 'warmup_linear'"" reported in #556",2019-05-11T22:34:28Z,2019-06-14T14:49:25Z,2019-06-14T14:49:25Z,1,,808.2491666666666,4,382,Merged
Convert pytorch models back to tensorflow,2019-05-18T21:20:32Z,2019-07-05T10:01:18Z,2019-07-05T10:01:18Z,3,,1140.6794444444445,2,218,Merged
PyTorch-Transformers 1.0 - w. XLNet and XLM model - Standard API - Torchscript compatibility,2019-06-21T16:40:18Z,2019-07-16T09:51:23Z,2019-07-16T09:51:23Z,5,,593.1847222222223,135,857,Merged
Release 0.7 - Add Torchscript capabilities,2019-07-02T14:42:54Z,2019-07-03T20:52:04Z,2019-07-03T20:52:04Z,1,,30.15277777777778,7,43,Merged
TorchScript trace comparison with different sizes,2019-07-03T22:05:09Z,,2019-08-07T18:46:07Z,1,,836.6827777777778,1,91,Closed
read().splitlines() -> readlines(),2019-07-22T12:49:29Z,2019-07-23T13:24:26Z,2019-07-23T13:24:26Z,2,,24.5825,1,233,Merged
Rework how PreTrainedModel.from_pretrained handles its arguments,2019-07-22T20:42:34Z,2019-07-23T16:05:30Z,2019-07-23T16:05:30Z,3,CHANGES_REQUESTED,19.38222222222222,1,5116,Merged
fix #878,2019-07-24T07:04:57Z,,2019-08-20T23:16:01Z,1,,664.1844444444445,1,0,Closed
Adding AutoTokenizer and AutoModel classes that automatically detect architecture - Clean up tokenizers,2019-07-26T17:27:32Z,2019-08-05T17:17:48Z,2019-08-05T17:17:48Z,5,,239.83777777777777,50,715,Merged
Updated model token sizing to replace removed parameter `num_special_…,2019-08-01T10:13:17Z,,2019-12-06T19:12:59Z,2,,3056.995,1,230,Closed
run_swag.py should use AdamW,2019-08-02T14:58:50Z,,2019-08-30T12:14:45Z,2,,669.2652777777778,1,72,Closed
"RoBERTa: model conversion, inference, tests 🔥",2019-08-05T02:07:45Z,2019-08-15T15:11:11Z,2019-08-15T15:11:11Z,42,,253.0572222222222,19,0,Merged
Generative finetuning,2019-08-07T21:43:53Z,2019-08-28T14:51:51Z,2019-08-28T14:51:51Z,2,,497.1327777777778,11,360,Merged
Refactoring old run_swag.py,2019-08-11T08:04:12Z,2019-09-18T19:42:52Z,2019-09-18T19:42:52Z,1,,923.6444444444444,7,1905,Merged
Fix RobertaEmbeddings,2019-08-19T04:52:08Z,,2019-12-06T19:13:00Z,7,,2630.347777777778,2,1385,Closed
Pruning changes so that deleted heads are kept on save/load,2019-08-22T01:39:48Z,2019-09-01T07:42:15Z,2019-09-01T07:42:16Z,8,,246.04083333333332,10,1087,Merged
Added cleaned configuration properties for tokenizer with serialization - improve tokenization of XLM,2019-08-24T01:52:48Z,2019-08-30T21:15:40Z,2019-08-30T21:15:41Z,4,CHANGES_REQUESTED,163.38111111111112,17,1619,Merged
"Torch.hub now based on AutoModels - Updating AutoModels with AutoModelWithLMHead, Sequence Classification and Question Answering",2019-08-26T20:10:43Z,2019-08-30T21:08:58Z,2019-08-30T21:08:58Z,1,,96.97083333333333,12,129,Merged
DistilBERT,2019-08-28T07:34:11Z,2019-08-28T14:43:09Z,2019-08-28T14:43:10Z,1,APPROVED,7.149444444444445,25,88,Merged
[WIP] Refactor Tokenizers creation to support in-memory initialization,2019-08-29T21:49:11Z,,2019-12-06T19:12:57Z,1,,2373.396111111111,17,1013,Closed
XLNet bias fix on resize embeddings (cf #1124),2019-08-31T04:53:22Z,2019-09-02T21:14:04Z,2019-09-02T21:14:04Z,3,,64.345,1,292,Merged
Updated GLUE script. New feature: Binary mask creation from the tokenizer's encoding.,2019-09-03T02:00:13Z,2019-09-26T10:11:06Z,2019-09-26T10:11:06Z,33,,560.1813888888889,21,1154,Merged
[2.0] Reodering arguments for torch jit #1010 and future TF2.0 compatibility,2019-09-04T10:50:17Z,2019-09-09T12:42:51Z,2019-09-09T12:42:51Z,5,APPROVED,121.87611111111111,11,384,Merged
Fixing TransformerXL bool issue #1169,2019-09-04T20:38:44Z,2019-09-05T19:17:02Z,2019-09-05T19:17:02Z,1,,22.638333333333332,1,182,Merged
Better examples,2019-09-06T16:15:20Z,2019-09-09T07:26:37Z,2019-09-09T07:26:37Z,8,,63.18805555555556,6,641,Merged
fix tokenize(): potential bug of splitting pretrained tokens with newly added tokens,2019-09-07T08:29:28Z,,2020-03-15T10:35:31Z,2,,4562.100833333333,2,1399,Closed
BLUE,2019-09-10T11:37:11Z,,2019-10-07T10:06:26Z,1,,646.4875,9,701,Closed
fix padding_idx of RoBERTa model,2019-09-12T22:20:31Z,,2019-09-27T23:10:58Z,2,APPROVED,360.8408333333333,1,226,Closed
Added ValueError for duplicates in list of added tokens,2019-09-19T14:46:32Z,2019-10-03T21:06:17Z,2019-10-03T21:06:18Z,2,,342.32916666666665,1,261,Merged
Simplify code by using six.string_types,2019-09-29T08:40:51Z,,2019-12-21T11:30:15Z,2,,1994.8233333333333,1,44,Closed
Fixed critical css font-family issues,2019-09-29T11:51:32Z,2019-10-03T23:04:03Z,2019-10-03T23:04:03Z,1,APPROVED,107.20861111111111,1,88,Merged
[multiple-choice] Simplify and use tokenizer.encode_plus,2019-09-30T20:10:23Z,,2019-10-04T21:40:52Z,4,APPROVED,97.50805555555556,5,739,Closed
Add RoBERTa question answering & Update SQuAD runner to support RoBERTa,2019-09-30T22:26:33Z,,2019-12-20T22:18:15Z,5,,1943.8616666666667,5,0,Closed
Add Roberta SQuAD model,2019-10-01T04:50:09Z,,2019-12-10T23:51:04Z,8,,1699.0152777777778,4,1440,Closed
Fix some typos in README,2019-10-06T17:17:14Z,2019-10-07T03:40:53Z,2019-10-07T03:40:53Z,2,,10.394166666666667,1,102,Merged
[WIP] Add PretrainedEncoderDecoder class,2019-10-08T14:24:14Z,2019-10-30T15:54:18Z,2019-10-30T15:54:18Z,99,APPROVED,529.5011111111111,14,623,Merged
[2.2] - Command-line interface - Pipeline class,2019-10-17T15:04:10Z,2019-12-20T14:28:30Z,2019-12-20T14:28:30Z,34,,1535.4055555555556,25,865,Merged
Fix AdamW import error for <1.2,2019-10-22T07:35:08Z,,2020-04-07T18:00:16Z,3,,4042.418888888889,1,13,Closed
Add support for resumable downloads for HTTP protocol.,2019-10-24T15:25:04Z,2019-11-27T16:11:07Z,2019-11-27T16:11:07Z,2,,816.7675,9,382,Merged
Templates and explanation for adding a new model and example script,2019-10-30T10:40:38Z,2019-10-30T16:05:59Z,2019-10-30T16:05:59Z,2,,5.4225,14,337,Merged
model forwards can take an inputs_embeds param,2019-11-01T16:29:21Z,2019-11-05T14:55:29Z,2019-11-05T14:55:29Z,6,APPROVED,94.43555555555555,23,0,Merged
