title,createdAt,mergedAt,closedAt,reviewsCount,reviewDecision,reviewTimeHours,filesChanged,description,result
Update English translations,2020-04-14T14:00:33Z,,2020-04-14T16:52:05Z,17,,2.858888888888889,2,74,Closed
修复qq登录,2021-05-29T15:34:26Z,,2021-05-30T08:07:48Z,1,,16.55611111111111,1,203,Closed
Fix autorun,2021-08-23T00:50:17Z,2021-09-29T12:10:34Z,2021-09-29T12:10:34Z,1,,899.3380555555556,1,126,Merged
C# language usage improvements,2022-12-04T05:40:58Z,,2022-12-09T12:43:52Z,1,,127.04833333333333,35,54,Closed
#3513 改变 Notify Icon 的响应方式,2023-03-20T14:34:36Z,,2023-03-22T02:29:48Z,1,,35.92,3,34,Closed
use WaitAsync for Timeout,2023-04-24T14:15:21Z,2023-04-25T02:03:40Z,2023-04-25T02:03:40Z,1,,11.805277777777778,2,111,Merged
繁体字典添加,2023-07-24T02:58:51Z,2023-07-30T03:08:24Z,2023-07-30T03:08:24Z,5,,144.15916666666666,3,0,Merged
Update Project and Libraries to .Net 7,2023-08-28T09:48:04Z,,2023-09-30T10:42:44Z,2,,792.9111111111112,86,144,Closed
Use a switch,2023-09-25T15:11:12Z,2023-11-10T07:03:03Z,2023-11-10T07:03:03Z,2,,1095.8641666666667,1,0,Merged
Enhanced custom profile #4745 #4723,2024-03-16T17:25:40Z,,2024-03-23T01:29:39Z,2,,152.0663888888889,5,245,Closed
Update ResUI.zh-Hans.resx,2024-09-04T02:27:37Z,,2024-09-16T05:45:58Z,1,,291.30583333333334,1,0,Closed
