title,createdAt,mergedAt,closedAt,reviewsCount,reviewDecision,reviewTimeHours,filesChanged,description,result
Add options argument to ProvidePlugin,2015-06-23T08:25:51Z,,2017-04-04T16:28:38Z,1,CHANGES_REQUESTED,15632.046388888888,1,215,Closed
Make RequireResolveContextDependency deduplicable,2015-11-17T01:18:48Z,,2017-01-30T19:59:57Z,1,CHANGES_REQUESTED,10578.685833333333,1,385,Closed
Block without associated chunks may contain dependencies,2016-01-30T18:04:01Z,,2017-04-04T16:36:21Z,1,CHANGES_REQUESTED,10318.538888888888,2,126,Closed
Update examples readme,2016-05-08T23:36:35Z,,2017-01-30T20:01:09Z,1,CHANGES_REQUESTED,6404.4094444444445,1,142,Closed
Resolve promise if script was cached and not executed.,2016-05-18T22:20:00Z,,2017-04-04T19:53:26Z,1,,7701.557222222223,1,282,Closed
System.import('Home') -> chunkFilename: '[name].chunk.js' -> Home.chunk.js,2016-06-23T11:30:42Z,,2017-04-04T19:53:56Z,1,CHANGES_REQUESTED,6848.387222222223,1,986,Closed
Add nonce capability,2016-08-29T22:43:53Z,,2016-10-31T14:12:41Z,2,CHANGES_REQUESTED,1503.48,75,1262,Closed
Throw error when using `HotModuleReplacementPlugin` and `--hot`.,2016-09-03T17:06:51Z,,2017-04-04T19:54:40Z,1,APPROVED,5114.796944444444,1,1554,Closed
AmdMainTemplatePlugin: filter out falsy external modules,2016-09-05T14:38:32Z,,2018-01-02T20:57:36Z,1,CHANGES_REQUESTED,11622.317777777778,1,1699,Closed
Add support for multiple library names [Incomplete],2016-09-11T17:49:31Z,,2018-01-02T20:59:45Z,13,CHANGES_REQUESTED,11475.170555555556,5,1391,Closed
Support multiple config compiler flags (#2835),2016-09-18T05:58:07Z,2016-09-19T20:08:29Z,2016-09-19T20:08:29Z,5,APPROVED,38.172777777777775,1,1118,Merged
Docs - update deprecated cssnext link,2016-09-20T13:02:13Z,2016-09-20T15:29:30Z,2016-09-20T15:29:30Z,5,APPROVED,2.4547222222222222,1,1010,Merged
Feature/added jsbeautify loader,2016-09-24T21:16:00Z,2016-09-28T05:03:02Z,2016-09-28T05:03:02Z,1,APPROVED,79.7838888888889,1,898,Merged
Fix plugin typos in options validation,2016-09-28T10:58:09Z,2016-09-28T13:03:18Z,2016-09-28T13:03:18Z,1,APPROVED,2.0858333333333334,2,991,Merged
Docs Update: Fix typo in README.md,2016-09-28T16:49:23Z,2016-10-29T10:58:19Z,2016-10-29T10:58:19Z,2,CHANGES_REQUESTED,738.1488888888889,2,866,Merged
Typescript type,2016-10-04T14:25:51Z,,2018-01-02T20:56:46Z,39,,10926.515277777778,11,891,Closed
Remove automatic -loader module name extension,2016-10-06T13:13:09Z,2016-10-25T21:03:59Z,2016-10-25T21:03:59Z,7,APPROVED,463.84722222222223,18,1290,Merged
Add callback to Watching.prototype.invalidate,2016-10-07T06:51:35Z,2017-07-12T07:08:14Z,2017-07-12T07:08:14Z,6,APPROVED,6672.2775,1,946,Merged
Schema: Added missing properties,2016-10-09T18:16:40Z,2016-10-11T22:39:12Z,2016-10-11T22:39:12Z,1,APPROVED,52.37555555555556,1,1321,Merged
[WIP] chore(readme): add open-collective badges,2016-10-14T14:22:04Z,,2016-10-16T22:36:32Z,1,APPROVED,56.24111111111111,1,38,Closed
replace missing space in package.json,2016-10-15T19:06:12Z,2016-10-15T22:02:48Z,2016-10-15T22:02:48Z,1,APPROVED,2.9433333333333334,1,453,Merged
"add ""root"": true to .eslintrc",2016-10-15T19:22:58Z,2016-10-17T18:26:53Z,2016-10-17T18:26:53Z,1,APPROVED,47.06527777777778,1,599,Merged
reduce fn.bind(this) usage by aliasing `this` to `self`,2016-10-15T19:28:44Z,2016-10-17T18:26:22Z,2016-10-17T18:26:22Z,1,APPROVED,46.96055555555556,2,697,Merged
Ignored,2016-10-15T20:19:07Z,,2017-04-04T16:22:39Z,3,CHANGES_REQUESTED,4100.058888888889,1,1184,Closed
Add option to pass object with defaults to environment plugin,2016-10-18T07:48:52Z,2017-01-26T07:50:59Z,2017-01-26T07:50:59Z,9,APPROVED,2400.035277777778,1,960,Merged
Updated Webpack website link,2016-10-19T16:06:26Z,,2016-12-23T11:13:48Z,1,CHANGES_REQUESTED,1555.1227777777779,8,590,Closed
Limit number of files processed asynchronously,2016-10-20T14:26:58Z,,2017-08-11T14:16:00Z,4,CHANGES_REQUESTED,7079.817222222222,1,931,Closed
chore(yarn): exclude lock file from source control,2016-10-22T23:57:35Z,,2016-10-26T10:33:12Z,1,CHANGES_REQUESTED,82.59361111111112,2,1033,Closed
fix(travis): fix yarn link and yarn link webpack commands,2016-10-26T05:40:42Z,2016-10-26T19:09:27Z,2016-10-26T19:09:27Z,4,APPROVED,13.479166666666666,5,85,Merged
Update deps,2016-10-26T11:14:13Z,2016-10-27T13:36:35Z,2016-10-27T13:36:35Z,1,APPROVED,26.372777777777777,3,1319,Merged
"chore(test): add node 7, and 0.12 to travis",2016-10-27T13:58:59Z,2016-10-27T20:44:24Z,2016-10-27T20:44:24Z,1,APPROVED,6.756944444444445,2,585,Merged
feat(test): increase coverage for target: 'webworker',2016-10-28T13:09:55Z,2016-12-28T13:49:27Z,2016-12-28T13:49:27Z,2,APPROVED,1464.658888888889,5,664,Merged
fix 'no-inner-declarations' warnings,2016-10-29T14:14:29Z,2016-10-31T13:49:54Z,2016-10-31T13:49:54Z,1,APPROVED,47.59027777777778,5,999,Merged
fix #2096,2016-10-29T15:46:10Z,2016-10-29T22:29:09Z,2016-10-29T22:29:09Z,3,CHANGES_REQUESTED,6.716388888888889,1,924,Merged
added nonce capability,2016-10-30T02:16:50Z,2016-11-23T21:27:50Z,2016-11-23T21:27:50Z,3,APPROVED,595.1833333333333,9,1353,Merged
Allow to validate a custom schema with `webpack.validate`,2016-11-01T14:39:29Z,2016-11-04T07:14:33Z,2016-11-04T07:14:33Z,6,APPROVED,64.58444444444444,3,1338,Merged
Fix validation schema accepting invalid values when `instanceof` is used,2016-11-03T22:55:37Z,2016-11-04T23:22:13Z,2016-11-04T23:22:13Z,3,,24.44333333333333,5,953,Merged
