title,createdAt,mergedAt,closedAt,reviewsCount,reviewDecision,reviewTimeHours,filesChanged,description,result
make LICENSE a link instead of code-formatted text,2022-09-21T21:17:35Z,2022-09-22T02:51:05Z,2022-09-22T02:51:05Z,1,,5.558333333333334,1,0,Merged
fixes the link to the model paper,2022-09-22T01:25:43Z,2022-09-22T02:48:58Z,2022-09-22T02:48:58Z,1,,1.3875,1,0,Merged
"Added microphone demo, updated README, added requirements_gpu.txt ",2022-09-23T04:31:21Z,,2022-09-23T13:36:24Z,1,,9.084166666666667,4,162,Closed
Added section for listing community integrations,2022-09-24T15:09:36Z,,2022-09-25T16:31:22Z,3,,25.36277777777778,1,197,Closed
changing the code from using print to using logging,2022-09-25T22:47:58Z,,2022-09-26T10:14:58Z,1,,11.45,2,389,Closed
fix: transcribe verbosity,2022-09-26T14:01:36Z,2022-09-26T18:46:21Z,2022-09-26T18:46:21Z,2,,4.745833333333334,1,101,Merged
Fix timestamps and strip extraneous whitespace in WebVTT output,2022-10-01T19:47:46Z,2022-10-03T21:51:08Z,2022-10-03T21:51:08Z,1,,50.056111111111115,1,260,Merged
"Add CSV formatted output in transcript, using integer start/end times in milliseconds.",2022-10-02T21:45:50Z,2023-01-22T08:27:17Z,2023-01-22T08:27:17Z,2,,2674.6908333333336,2,720,Merged
Easy to use Jupyter Notebook for Youtube video inference,2022-10-03T00:43:12Z,,2022-10-04T04:23:45Z,1,,27.675833333333333,1,418,Closed
Update Hebrew language code to he per IANA registry,2022-10-23T22:05:08Z,2022-12-07T18:45:31Z,2022-12-07T18:45:31Z,1,,1076.6730555555555,1,495,Merged
[README] Add section on 🤗 Transformers,2022-11-04T15:00:36Z,,2022-12-04T23:29:25Z,2,,728.4802777777778,1,691,Closed
verbose print catch UnicodeEncodeError,2022-12-11T20:52:58Z,,2023-01-18T07:30:14Z,1,,898.6211111111111,1,937,Closed
word-level timestamps in `transcribe()`,2023-01-20T20:31:43Z,2023-03-06T22:00:50Z,2023-03-06T22:00:50Z,25,,1081.4852777777778,14,0,Merged
Update README.md,2023-01-25T16:36:11Z,2023-03-04T00:42:00Z,2023-03-04T00:42:00Z,1,,896.0969444444445,1,60,Merged
Fix infinite loop caused by incorrect timestamp tokens prediction,2023-02-01T09:12:55Z,2023-02-01T23:46:51Z,2023-02-01T23:46:51Z,3,,14.565555555555555,1,49,Merged
Use tiktoken,2023-03-07T10:25:10Z,2023-03-13T09:34:17Z,2023-03-13T09:34:17Z,6,,143.15194444444444,15,428,Merged
Fix github language stats dominated by jupyter notebook,2023-03-11T04:30:18Z,2023-03-14T07:07:09Z,2023-03-14T07:07:09Z,1,,74.61416666666666,1,222,Merged
docs(readme): remove instructions for installing huggingface tokenizer,2023-03-20T20:28:20Z,,2023-04-11T00:49:27Z,1,,508.3519444444444,1,102,Closed
Update decoding.py,2023-03-27T09:16:09Z,2023-04-11T22:06:04Z,2023-04-11T22:06:04Z,4,,372.83194444444445,1,180,Merged
Drop ffmpeg-python dependency and call ffmpeg directly.,2023-04-16T15:32:52Z,2023-05-04T17:53:59Z,2023-05-04T17:53:59Z,2,,434.3519444444444,3,439,Merged
Fix exception when generating the subtitles for an audio with no speech,2023-05-27T10:59:59Z,2023-10-10T17:01:02Z,2023-10-10T17:01:02Z,1,,3270.0175,1,923,Merged
Avoid rearranging all caches,2023-06-30T10:35:20Z,2023-07-06T19:48:09Z,2023-07-06T19:48:09Z,7,,153.2136111111111,1,209,Merged
fix doc of TextDecoder,2023-07-16T14:52:09Z,2023-09-18T23:10:00Z,2023-09-18T23:10:00Z,2,,1544.2975,1,0,Merged
Add .pre-commit-config.yaml,2023-07-17T06:38:33Z,2023-09-18T23:15:34Z,2023-09-18T23:15:34Z,1,,1528.6169444444445,4,452,Merged
word timing tweaks,2023-07-29T23:28:25Z,2023-08-07T21:48:56Z,2023-08-07T21:48:56Z,2,,214.34194444444444,1,0,Merged
Patch 3,2023-08-02T02:36:36Z,,2023-09-18T23:01:20Z,1,,1148.4122222222222,4,0,Closed
Add subtitle_format option to word_options dict,2023-10-11T18:03:56Z,,2023-11-09T13:25:43Z,9,,691.3630555555555,0,1415,Closed
Relax triton requirements for compatibility with pytorch 2.1 and newer,2023-11-13T13:52:29Z,2023-11-13T17:43:42Z,2023-11-13T17:43:42Z,1,,3.8536111111111113,1,136,Merged
